area,header,class,method,method_line,method_static,triage,priority,signature,note
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,getBaseWrappedCanvas,17,yes,na,P3,static SkCanvas* getBaseWrappedCanvas(SkCanvas* canvas);,"SK_BUILD_FOR_ANDROID_FRAMEWORK-only helper using PaintFilterCanvas internals; default Reskia build does not expose this member."
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,ShaderAsALinearGradient,48,yes,na,P3,"static bool ShaderAsALinearGradient(SkShader* shader, LinearGradientInfo*);","SK_BUILD_FOR_ANDROID_FRAMEWORK-only shader helper; default Reskia build does not expose this member."
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,Make,15,yes,real_gap,P3,"static sk_sp<SkAnimatedImage> Make(std::unique_ptr<SkAndroidCodec>, const SkImageInfo& info, SkIRect cropRect, sk_sp<SkPicture> postProcess);","Header is imported but src/android/SkAnimatedImage.cpp is not in skia/src; implementing requires syncing Android source and deciding consumed SkAndroidCodec plus optional SkPicture ownership."
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,Make,15,yes,real_gap,P3,static sk_sp<SkAnimatedImage> Make(std::unique_ptr<SkAndroidCodec>);,"Header is imported but src/android/SkAnimatedImage.cpp is not in skia/src; implement in guarded Android/import-source batch."
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,~SkAnimatedImage,15,no,real_gap,P3,~SkAnimatedImage() override;,"Needs concrete SkAnimatedImage object lifetime wrapper after source import; destructor should unref retained drawable object rather than raw delete."
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,reset,15,no,real_gap,P3,void reset();,"Requires SkAnimatedImage source import and object wrapper."
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,isFinished,15,no,real_gap,P3,bool isFinished() const { return fFinished; },"Requires SkAnimatedImage source import and object wrapper."
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,decodeNextFrame,15,no,real_gap,P3,int decodeNextFrame();,"Requires SkAnimatedImage source import and object wrapper."
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,getCurrentFrame,15,no,real_gap,P3,sk_sp<SkImage> getCurrentFrame();,"Requires SkAnimatedImage source import and object wrapper; return should be retained sk_image_t."
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,currentFrameDuration,15,no,real_gap,P3,int currentFrameDuration() { return fCurrentFrameDuration; },"Requires SkAnimatedImage source import and object wrapper."
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,setRepetitionCount,15,no,real_gap,P3,void setRepetitionCount(int count);,"Requires SkAnimatedImage source import and object wrapper."
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,getRepetitionCount,15,no,real_gap,P3,int getRepetitionCount() const { return fRepetitionCount; },"Requires SkAnimatedImage source import and object wrapper."
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,getFrameCount,15,no,real_gap,P3,int getFrameCount() const { return fFrameCount; },"Requires SkAnimatedImage source import and object wrapper."
include/ports,include/ports/SkFontConfigInterface.h,SkFontConfigInterface,RefGlobal,12,yes,real_gap,P3,static sk_sp<SkFontConfigInterface> RefGlobal();,"Legacy FontConfig interface implementation sources are not imported into skia/src; defer to guarded FontConfig/provider ownership batch."
include/ports,include/ports/SkFontConfigInterface.h,SkFontConfigInterface,SetGlobal,12,yes,real_gap,P3,static void SetGlobal(sk_sp<SkFontConfigInterface> fc);,"Global registration needs ownership policy and imported FontConfigInterface.cpp; defer to guarded FontConfig/provider ownership batch."
include/ports,include/ports/SkFontConfigInterface.h,SkFontConfigInterface,matchFamilyName,45,no,real_gap,P3,"virtual bool matchFamilyName(const char familyName[], SkFontStyle requested, FontIdentity* outFontIdentifier, SkString* outFamilyName, SkFontStyle* outStyle) = 0;","Abstract provider call wrapper can be added after FontIdentity C layout and provider pointer ownership are finalized."
include/ports,include/ports/SkFontConfigInterface.h,SkFontConfigInterface,openStream,45,no,real_gap,P3,virtual SkStreamAsset* openStream(const FontIdentity&) = 0;,"Abstract provider call wrapper can be added after FontIdentity C layout and stream ownership are finalized."
include/ports,include/ports/SkFontConfigInterface.h,SkFontConfigInterface,makeTypeface,45,no,real_gap,P3,virtual sk_sp<SkTypeface> makeTypeface(const FontIdentity& identity);,"Needs imported default implementation source or provider-specific bridge; defer to FontConfig batch."
include/ports,include/ports/SkFontConfigInterface.h,SkFontConfigInterface,makeTypeface,45,no,real_gap,P3,"virtual sk_sp<SkTypeface> makeTypeface(const FontIdentity& identity, sk_sp<SkFontMgr> mgr);","Needs imported default implementation source or provider-specific bridge; defer to FontConfig batch."
include/ports,include/ports/SkFontConfigInterface.h,SkFontConfigInterface,GetSingletonDirectInterface,45,yes,real_gap,P3,static SkFontConfigInterface* GetSingletonDirectInterface();,"Direct singleton depends on platform FontConfig implementation sources and must remain feature guarded."
