category,header,implementation,function,line,status,owner,note
void_ptr,skia/binding/sk_b_box_hierarchy.h,skia/binding/sk_b_box_hierarchy.cpp,SkBBoxHierarchy_ref,18,done,,typed opaque pointer aliases introduced for hierarchy receiver
void_ptr,skia/binding/sk_b_box_hierarchy.h,skia/binding/sk_b_box_hierarchy.cpp,SkBBoxHierarchy_unref,19,done,,typed opaque pointer aliases introduced for hierarchy receiver
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_new,12,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr|suffix,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_new_2,13,done,,replacement planned name: SkBitmap_clone
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_delete,14,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_allocN32Pixels,15,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_allocPixels,16,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr|suffix,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_allocPixels_2,17,done,,replacement planned name: SkBitmap_allocPixelsWithAllocator
void_ptr|suffix,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_allocPixels_3,18,done,,replacement planned name: SkBitmap_allocPixelsWithInfo
void_ptr|primitive,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_allocPixels_4,19,done,,replacement planned name: SkBitmap_allocPixelsWithInfoAndRowBytes
void_ptr|primitive,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_allocPixelsFlags,20,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_alphaType,21,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_asImage,22,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_bounds,23,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_bytesPerPixel,24,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_colorSpace,25,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_colorType,26,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr|primitive,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_computeByteSize,27,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_dimensions,28,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_drawsNothing,29,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_empty,30,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr|primitive|semantic,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_erase,31,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr|suffix,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_erase_2,32,done,,replacement planned name: SkBitmap_eraseColor4fInArea
void_ptr|primitive|semantic,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_eraseArea,33,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr|primitive,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_eraseARGB,34,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr|primitive|semantic,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_eraseColor,35,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr|suffix,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_eraseColor_2,36,done,,replacement planned name: SkBitmap_eraseColor4f
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_extractAlpha,37,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr|suffix,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_extractAlpha_2,38,done,,replacement planned name: SkBitmap_extractAlphaWithPaintAllocatorOffset
void_ptr|suffix,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_extractAlpha_3,39,done,,replacement planned name: SkBitmap_extractAlphaWithPaintOffset
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_extractSubset,40,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_getAddr,41,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_getAddr16,42,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_getAddr32,43,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_getAddr8,44,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_getAlphaf,45,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_getBounds,46,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_getBounds2,47,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr|primitive|semantic,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_getColor,48,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_getColor4f,49,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr|primitive,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_getGenerationID,50,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_getPixels,51,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_getSubset,52,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_height,53,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_info,54,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_installMaskPixels,55,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr|primitive,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_installPixels,56,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr|suffix|primitive,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_installPixels_2,57,done,,replacement planned name: SkBitmap_installPixelsWithReleaseProc
void_ptr|suffix,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_installPixels_3,58,done,,replacement planned name: SkBitmap_installPixelsFromPixmap
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_isImmutable,59,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_isNull,60,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_isOpaque,61,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_makeShader,62,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr|suffix,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_makeShader_2,63,done,,replacement planned name: SkBitmap_makeShaderWithOptionalLocalMatrix
void_ptr|suffix,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_makeShader_3,64,done,,replacement planned name: SkBitmap_makeShaderWithTileModesAndOptionalLocalMatrix
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_makeShader_4,65,done,,replacement planned name: SkBitmap_makeShaderWithTileModesAndLocalMatrix
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_notifyPixelsChanged,66,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_peekPixels,67,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_pixelRef,68,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_pixelRefOrigin,69,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_pixmap,70,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr|primitive,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_readPixels,71,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr|suffix,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_readPixels_2,72,done,,replacement planned name: SkBitmap_readPixelsFromPixmap
void_ptr|suffix,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_readPixels_3,73,done,,replacement planned name: SkBitmap_readPixelsFromPixmapAt
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_readyToDraw,74,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_refColorSpace,75,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_reset,76,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr|primitive,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_rowBytes,77,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_rowBytesAsPixels,78,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_setAlphaType,79,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_setImmutable,80,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr|primitive,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_setInfo,81,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_setPixelRef,82,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_setPixels,83,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_shiftPerPixel,84,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_swap,85,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_tryAllocN32Pixels,86,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_tryAllocPixels,87,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr|suffix,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_tryAllocPixels_2,88,done,,replacement planned name: SkBitmap_tryAllocPixelsWithAllocator
void_ptr|suffix,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_tryAllocPixels_3,89,done,,replacement planned name: SkBitmap_tryAllocPixelsWithInfo
void_ptr|primitive,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_tryAllocPixels_4,90,done,,replacement planned name: SkBitmap_tryAllocPixelsWithInfoAndRowBytes
void_ptr|primitive,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_tryAllocPixelsFlags,91,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_width,92,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_writePixels,93,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr|suffix,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_writePixels_2,94,done,,replacement planned name: SkBitmap_writePixelsAt
void_ptr,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_ComputeIsOpaque,96,done,,typed opaque pointer aliases introduced for SkBitmap API surface
void_ptr,skia/binding/sk_blender.h,skia/binding/sk_blender.cpp,SkBlender_delete,12,done,,typed opaque pointer aliases introduced for SkBlender API surface
void_ptr,skia/binding/sk_blender.h,skia/binding/sk_blender.cpp,SkBlender_getFactory,13,done,,typed opaque pointer aliases introduced for SkBlender API surface
void_ptr,skia/binding/sk_blender.h,skia/binding/sk_blender.cpp,SkBlender_getTypeName,14,done,,typed opaque pointer aliases introduced for SkBlender API surface
void_ptr,skia/binding/sk_blender.h,skia/binding/sk_blender.cpp,SkBlender_flatten,15,done,,typed opaque pointer aliases introduced for SkWriteBuffer parameter
void_ptr,skia/binding/sk_blender.h,skia/binding/sk_blender.cpp,SkBlender_getFlattenableType,16,done,,typed opaque pointer aliases introduced for SkBlender API surface
void_ptr,skia/binding/sk_blender.h,skia/binding/sk_blender.cpp,SkBlender_serialize,17,done,,typed opaque pointer aliases introduced for serial procs parameter
void_ptr|suffix|primitive,skia/binding/sk_blender.h,skia/binding/sk_blender.cpp,SkBlender_serialize_2,18,done,,replacement planned name: SkBlender_serializeToMemory
void_ptr,skia/binding/sk_blender.h,skia/binding/sk_blender.cpp,SkBlender_unique,19,done,,typed opaque pointer aliases introduced for SkBlender API surface
void_ptr,skia/binding/sk_blender.h,skia/binding/sk_blender.cpp,SkBlender_ref,20,done,,typed opaque pointer aliases introduced for SkBlender API surface
void_ptr,skia/binding/sk_blender.h,skia/binding/sk_blender.cpp,SkBlender_unref,21,done,,typed opaque pointer aliases introduced for SkBlender API surface
void_ptr|primitive,skia/binding/sk_blender.h,skia/binding/sk_blender.cpp,SkBlender_Deserialize,29,done,,typed opaque pointer aliases introduced and length normalized to size_t
void_ptr|primitive,skia/binding/sk_bmp_decoder.h,skia/binding/sk_bmp_decoder.cpp,SkBmpDecoder_IsBmp,12,done,,typed byte pointer + size_t introduced for input buffer
void_ptr,skia/binding/sk_bmp_decoder.h,skia/binding/sk_bmp_decoder.cpp,SkBmpDecoder_Decode,13,done,,typed opaque pointer aliases introduced for result/decodeContext
void_ptr|suffix,skia/binding/sk_bmp_decoder.h,skia/binding/sk_bmp_decoder.cpp,SkBmpDecoder_Decode_2,14,done,,replacement planned name: SkBmpDecoder_DecodeFromData
void_ptr,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_new,12,done,,typed canvas handle (reskia_canvas_t*) introduced; primitive widths normalized (size_t/uint32_t)
void_ptr|suffix,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_new_2,13,done,,replacement planned name: SkCanvas_newWithVariant2
void_ptr|suffix,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_new_3,14,done,,replacement planned name: SkCanvas_newWithVariant3
void_ptr,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_new_4,15,done,,replacement planned name: SkCanvas_newWithVariant4
void_ptr,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_delete,16,done,,typed canvas handle (reskia_canvas_t*) introduced; primitive widths normalized (size_t/uint32_t)
void_ptr,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_accessTopLayerPixels,17,done,,typed canvas handle (reskia_canvas_t*) introduced; primitive widths normalized (size_t/uint32_t)
void_ptr,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_accessTopRasterHandle,18,done,,typed canvas handle (reskia_canvas_t*) introduced; primitive widths normalized (size_t/uint32_t)
void_ptr,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_androidFramework_setDeviceClipRestriction,19,done,,typed canvas handle (reskia_canvas_t*) introduced; primitive widths normalized (size_t/uint32_t)
void_ptr,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_clear,20,done,,typed canvas handle (reskia_canvas_t*) introduced; primitive widths normalized (size_t/uint32_t)
void_ptr|suffix|primitive|semantic,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_clear_2,21,done,,replacement planned name: SkCanvas_clearWithVariant2
void_ptr,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_clipIRect,22,done,,typed canvas handle (reskia_canvas_t*) introduced; primitive widths normalized (size_t/uint32_t)
void_ptr,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_clipPath,23,done,,typed canvas handle (reskia_canvas_t*) introduced; primitive widths normalized (size_t/uint32_t)
void_ptr|suffix,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_clipPath_2,24,done,,replacement planned name: SkCanvas_clipPathWithVariant2
void_ptr|suffix,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_clipPath_3,25,done,,replacement planned name: SkCanvas_clipPathWithVariant3
void_ptr,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_clipRect,26,done,,typed canvas handle (reskia_canvas_t*) introduced; primitive widths normalized (size_t/uint32_t)
void_ptr|suffix,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_clipRect_2,27,done,,replacement planned name: SkCanvas_clipRectWithVariant2
void_ptr|suffix,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_clipRect_3,28,done,,replacement planned name: SkCanvas_clipRectWithVariant3
void_ptr,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_clipRegion,29,done,,typed canvas handle (reskia_canvas_t*) introduced; primitive widths normalized (size_t/uint32_t)
void_ptr,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_clipRRect,30,done,,typed canvas handle (reskia_canvas_t*) introduced; primitive widths normalized (size_t/uint32_t)
void_ptr|suffix,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_clipRRect_2,31,done,,replacement planned name: SkCanvas_clipRRectWithVariant2
void_ptr|suffix,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_clipRRect_3,32,done,,replacement planned name: SkCanvas_clipRRectWithVariant3
void_ptr,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_clipShader,33,done,,typed canvas handle (reskia_canvas_t*) introduced; primitive widths normalized (size_t/uint32_t)
void_ptr,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_concat,34,done,,typed canvas handle (reskia_canvas_t*) introduced; primitive widths normalized (size_t/uint32_t)
void_ptr|suffix,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_concat_2,35,done,,replacement planned name: SkCanvas_concatWithVariant2
void_ptr,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_discard,36,done,,typed canvas handle (reskia_canvas_t*) introduced; primitive widths normalized (size_t/uint32_t)
void_ptr,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_drawAnnotation,37,done,,typed canvas handle (reskia_canvas_t*) introduced; primitive widths normalized (size_t/uint32_t)
void_ptr|suffix,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_drawAnnotation_2,38,done,,replacement planned name: SkCanvas_drawAnnotationWithVariant2
void_ptr,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_drawArc,39,done,,typed canvas handle (reskia_canvas_t*) introduced; primitive widths normalized (size_t/uint32_t)
void_ptr|semantic,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_drawAtlas,40,done,,typed canvas handle (reskia_canvas_t*) introduced; primitive widths normalized (size_t/uint32_t)
void_ptr,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_drawCircle,41,done,,typed canvas handle (reskia_canvas_t*) introduced; primitive widths normalized (size_t/uint32_t)
void_ptr|suffix,skia/binding/sk_canvas.h,skia/binding/sk_canvas.cpp,SkCanvas_drawCircle_2,42,done,,replacement planned name: SkCanvas_drawCircleWithVariant2
