area,header,class,method,method_line,method_status,matched_capi,triage,priority,residual_kind,signature,generator_action,note
include/core,include/core/SkTypeface.h,SkTypeface,createScalerContext,156,missing,SkTypeface_Equal|SkTypeface_MakeDefault|SkTypeface_MakeDeserialize|SkTypeface_MakeDeserializeWithoutFontMgr|SkTypeface_MakeEmpty|SkTypeface_MakeFromData|SkTypeface_MakeFromFile|SkTypeface_MakeFromName,na,P3,subclass_implementation_hook,"std::unique_ptr<SkScalerContext> createScalerContext(const SkScalerContextEffects&, const SkDescriptor*) const;",Phase 15 subclass hook override,createScalerContext is a typeface implementation hook tied to SkScalerContext internals and should not be exposed as ordinary consumer C ABI.
include/sksl,include/sksl/SkSLDebugTrace.h,DebugTrace,writeTrace,10,missing,,na,P3,debug_trace_sink,virtual void writeTrace(SkWStream* w) const = 0;,Phase 15 debug sink override,SkSL DebugTrace is a pure virtual debug serialization sink with no stable C owner/result model in Reskia.
include/sksl,include/sksl/SkSLDebugTrace.h,DebugTrace,dump,10,missing,,na,P3,debug_trace_sink,virtual void dump(SkWStream* o) const = 0;,Phase 15 debug sink override,SkSL DebugTrace is a pure virtual debug dump sink with no stable C owner/result model in Reskia.
include/utils,include/utils/SkCamera.h,Sk3DView,setCameraLocation,65,missing,Sk3DView_applyToCanvas|Sk3DView_delete|Sk3DView_dotWithNormal|Sk3DView_getMatrix|Sk3DView_new|Sk3DView_restore|Sk3DView_rotateX|Sk3DView_rotateY,na,P3,android_framework_guarded_deprecated,"void setCameraLocation(SkScalar x, SkScalar y, SkScalar z);",Phase 15 platform/internal override,Sk3DView camera location helpers are deprecated and guarded by SK_BUILD_FOR_ANDROID_FRAMEWORK; portable Sk3DView methods remain covered.
include/utils,include/utils/SkCamera.h,Sk3DView,getCameraLocationX,65,missing,Sk3DView_applyToCanvas|Sk3DView_delete|Sk3DView_dotWithNormal|Sk3DView_getMatrix|Sk3DView_new|Sk3DView_restore|Sk3DView_rotateX|Sk3DView_rotateY,na,P3,android_framework_guarded_deprecated,SkScalar getCameraLocationX() const;,Phase 15 platform/internal override,Sk3DView camera location helpers are deprecated and guarded by SK_BUILD_FOR_ANDROID_FRAMEWORK; portable Sk3DView methods remain covered.
include/utils,include/utils/SkCamera.h,Sk3DView,getCameraLocationY,65,missing,Sk3DView_applyToCanvas|Sk3DView_delete|Sk3DView_dotWithNormal|Sk3DView_getMatrix|Sk3DView_new|Sk3DView_restore|Sk3DView_rotateX|Sk3DView_rotateY,na,P3,android_framework_guarded_deprecated,SkScalar getCameraLocationY() const;,Phase 15 platform/internal override,Sk3DView camera location helpers are deprecated and guarded by SK_BUILD_FOR_ANDROID_FRAMEWORK; portable Sk3DView methods remain covered.
include/utils,include/utils/SkCamera.h,Sk3DView,getCameraLocationZ,65,missing,Sk3DView_applyToCanvas|Sk3DView_delete|Sk3DView_dotWithNormal|Sk3DView_getMatrix|Sk3DView_new|Sk3DView_restore|Sk3DView_rotateX|Sk3DView_rotateY,na,P3,android_framework_guarded_deprecated,SkScalar getCameraLocationZ() const;,Phase 15 platform/internal override,Sk3DView camera location helpers are deprecated and guarded by SK_BUILD_FOR_ANDROID_FRAMEWORK; portable Sk3DView methods remain covered.
modules/bentleyottmann,modules/bentleyottmann/include/EventQueue.h,EventQueue,Make,54,missing,,na,P3,internal_geometry_helper,static std::optional<EventQueue> Make(SkSpan<const Segment> segments);,Phase 15 internal module override,bentleyottmann is an internal computational-geometry helper module; keep out of stable C ABI until a direct public use case appears.
modules/bentleyottmann,modules/bentleyottmann/include/EventQueue.h,EventQueue,EventQueue,54,missing,,na,P3,internal_geometry_helper,EventQueue(Queue&& queue);,Phase 15 internal module override,bentleyottmann is an internal computational-geometry helper module; keep out of stable C ABI until a direct public use case appears.
modules/bentleyottmann,modules/bentleyottmann/include/EventQueue.h,EventQueue,EventQueue,54,missing,,na,P3,internal_geometry_helper,EventQueue() = default;,Phase 15 internal module override,bentleyottmann is an internal computational-geometry helper module; keep out of stable C ABI until a direct public use case appears.
modules/bentleyottmann,modules/bentleyottmann/include/EventQueue.h,EventQueue,addCrossing,54,missing,,na,P3,internal_geometry_helper,"void addCrossing(Point crossingPoint, const Segment& s0, const Segment& s1) override;",Phase 15 internal module override,bentleyottmann is an internal computational-geometry helper module; keep out of stable C ABI until a direct public use case appears.
modules/bentleyottmann,modules/bentleyottmann/include/EventQueue.h,EventQueue,hasMoreEvents,54,missing,,na,P3,internal_geometry_helper,bool hasMoreEvents() const;,Phase 15 internal module override,bentleyottmann is an internal computational-geometry helper module; keep out of stable C ABI until a direct public use case appears.
modules/bentleyottmann,modules/bentleyottmann/include/EventQueue.h,EventQueue,handleNextEventPoint,54,missing,,na,P3,internal_geometry_helper,void handleNextEventPoint(SweepLineInterface* handler);,Phase 15 internal module override,bentleyottmann is an internal computational-geometry helper module; keep out of stable C ABI until a direct public use case appears.
modules/bentleyottmann,modules/bentleyottmann/include/EventQueue.h,EventQueue,crossings,54,missing,,na,P3,internal_geometry_helper,std::vector<Crossing> crossings();,Phase 15 internal module override,bentleyottmann is an internal computational-geometry helper module; keep out of stable C ABI until a direct public use case appears.
modules/bentleyottmann,modules/bentleyottmann/include/EventQueueInterface.h,EventQueueInterface,EventQueueInterface,15,missing,,na,P3,internal_geometry_helper,EventQueueInterface() = default;,Phase 15 internal module override,bentleyottmann is an internal computational-geometry helper module; keep out of stable C ABI until a direct public use case appears.
modules/bentleyottmann,modules/bentleyottmann/include/EventQueueInterface.h,EventQueueInterface,EventQueueInterface,15,missing,,na,P3,internal_geometry_helper,EventQueueInterface(const EventQueueInterface&) = default;,Phase 15 internal module override,bentleyottmann is an internal computational-geometry helper module; keep out of stable C ABI until a direct public use case appears.
modules/bentleyottmann,modules/bentleyottmann/include/EventQueueInterface.h,EventQueueInterface,EventQueueInterface,15,missing,,na,P3,internal_geometry_helper,EventQueueInterface(EventQueueInterface&&) = default;,Phase 15 internal module override,bentleyottmann is an internal computational-geometry helper module; keep out of stable C ABI until a direct public use case appears.
modules/bentleyottmann,modules/bentleyottmann/include/EventQueueInterface.h,EventQueueInterface,~EventQueueInterface,15,missing,,false_positive,P0,destructor_lifetime,virtual ~EventQueueInterface() = default;,Phase 15 destructor override,Destructor/lifetime should be represented by concrete wrapper release/delete APIs and is not a direct C ABI method.
modules/bentleyottmann,modules/bentleyottmann/include/EventQueueInterface.h,EventQueueInterface,addCrossing,15,missing,,na,P3,internal_geometry_callback,"virtual void addCrossing(Point crossingPoint, const Segment& s0, const Segment& s1) = 0;",Phase 15 internal module override,bentleyottmann interfaces are internal geometry callback hooks rather than stable C ABI surfaces.
modules/bentleyottmann,modules/bentleyottmann/include/EventQueueInterface.h,OrderBySlope,operator(),28,missing,,na,P3,internal_geometry_helper,"bool operator()(const Segment& s0, const Segment& s1) const;",Phase 15 internal module override,bentleyottmann comparator helper is internal implementation detail.
modules/bentleyottmann,modules/bentleyottmann/include/EventQueueInterface.h,SweepLineInterface,~SweepLineInterface,38,missing,,false_positive,P0,destructor_lifetime,virtual ~SweepLineInterface() = default;,Phase 15 destructor override,Destructor/lifetime should be represented by concrete wrapper release/delete APIs and is not a direct C ABI method.
modules/bentleyottmann,modules/bentleyottmann/include/EventQueueInterface.h,SweepLineInterface,handleDeletions,38,missing,,na,P3,internal_geometry_callback,"virtual void handleDeletions(Point eventPoint, const DeletionSegmentSet& removing) = 0;",Phase 15 internal module override,bentleyottmann interfaces are internal geometry callback hooks rather than stable C ABI surfaces.
modules/bentleyottmann,modules/bentleyottmann/include/EventQueueInterface.h,SweepLineInterface,handleInsertionsAndCheckForNewCrossings,38,missing,,na,P3,internal_geometry_callback,"virtual void handleInsertionsAndCheckForNewCrossings( Point eventPoint, const InsertionSegmentSet& inserting, EventQueueInterface* queue) = 0;",Phase 15 internal module override,bentleyottmann interfaces are internal geometry callback hooks rather than stable C ABI surfaces.
modules/bentleyottmann,modules/bentleyottmann/include/Int96.h,Int96,Make,7,missing,,na,P3,internal_geometry_helper,static Int96 Make(int32_t a);,Phase 15 internal module override,bentleyottmann fixed-width arithmetic helper is internal implementation detail.
modules/bentleyottmann,modules/bentleyottmann/include/Int96.h,Int96,Make,7,missing,,na,P3,internal_geometry_helper,static Int96 Make(int64_t a);,Phase 15 internal module override,bentleyottmann fixed-width arithmetic helper is internal implementation detail.
modules/bentleyottmann,modules/bentleyottmann/include/Segment.h,Segment,upper,11,missing,SkContourMeasure_getSegment|SkPathMeasure_getSegment|SkPath_getSegmentMasks,na,P3,internal_geometry_helper,Point upper() const;,Phase 15 internal module override,bentleyottmann segment helper is internal implementation detail.
modules/bentleyottmann,modules/bentleyottmann/include/Segment.h,Segment,lower,11,missing,SkContourMeasure_getSegment|SkPathMeasure_getSegment|SkPath_getSegmentMasks,na,P3,internal_geometry_helper,Point lower() const;,Phase 15 internal module override,bentleyottmann segment helper is internal implementation detail.
modules/bentleyottmann,modules/bentleyottmann/include/Segment.h,Segment,bounds,11,missing,SkContourMeasure_getSegment|SkPathMeasure_getSegment|SkPath_getSegmentMasks,na,P3,internal_geometry_helper,"std::tuple<int32_t, int32_t, int32_t, int32_t> bounds() const;",Phase 15 internal module override,bentleyottmann segment helper is internal implementation detail.
modules/bentleyottmann,modules/bentleyottmann/include/SweepLine.h,SweepLine,SweepLine,12,missing,,na,P3,internal_geometry_helper,SweepLine();,Phase 15 internal module override,bentleyottmann sweep-line helper is internal implementation detail.
modules/bentleyottmann,modules/bentleyottmann/include/SweepLine.h,SweepLine,handleDeletions,12,missing,,na,P3,internal_geometry_helper,"void handleDeletions(Point eventPoint, const DeletionSegmentSet& removing) override;",Phase 15 internal module override,bentleyottmann sweep-line helper is internal implementation detail.
modules/bentleyottmann,modules/bentleyottmann/include/SweepLine.h,SweepLine,handleInsertionsAndCheckForNewCrossings,12,missing,,na,P3,internal_geometry_helper,"void handleInsertionsAndCheckForNewCrossings(Point eventPoint, const InsertionSegmentSet& inserting, EventQueueInterface* queue) override;",Phase 15 internal module override,bentleyottmann sweep-line helper is internal implementation detail.
