area,header,class,class_kind,class_line,class_status,method,method_line,method_static,method_status,matched_capi,signature,note
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,class,14,covered,reset,15,no,covered,SkAnimatedImage_reset,void reset();,
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,class,14,covered,isFinished,15,no,covered,SkAnimatedImage_isFinished,bool isFinished() const { return fFinished; },
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,class,14,covered,decodeNextFrame,15,no,covered,SkAnimatedImage_decodeNextFrame,int decodeNextFrame();,
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,class,14,covered,getCurrentFrame,15,no,covered,SkAnimatedImage_getCurrentFrame,sk_sp<SkImage> getCurrentFrame();,
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,class,14,covered,currentFrameDuration,15,no,covered,SkAnimatedImage_currentFrameDuration,int currentFrameDuration() { return fCurrentFrameDuration; },
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,class,14,covered,setRepetitionCount,15,no,covered,SkAnimatedImage_setRepetitionCount,void setRepetitionCount(int count);,
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,class,14,covered,getRepetitionCount,15,no,covered,SkAnimatedImage_getRepetitionCount,int getRepetitionCount() const { return fRepetitionCount; },
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,class,14,covered,getFrameCount,15,no,covered,SkAnimatedImage_getFrameCount,int getFrameCount() const { return fFrameCount; },
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,class,14,covered,setFilterMode,15,no,covered,SkAnimatedImage_setFilterMode,void setFilterMode(SkFilterMode filterMode);,
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,class,14,covered,getFilterMode,15,no,covered,SkAnimatedImage_getFilterMode,SkFilterMode getFilterMode() const { return fFilterMode; },
include/codec,include/codec/SkAndroidCodec.h,SkAndroidCodec,class,25,covered,MakeFromCodec,32,yes,covered,SkAndroidCodec_MakeFromCodec,static std::unique_ptr<SkAndroidCodec> MakeFromCodec(std::unique_ptr<SkCodec>);,
include/codec,include/codec/SkAndroidCodec.h,SkAndroidCodec,class,25,covered,MakeFromStream,32,yes,covered,SkAndroidCodec_MakeFromStream,"static std::unique_ptr<SkAndroidCodec> MakeFromStream(std::unique_ptr<SkStream>, SkPngChunkReader* = nullptr);",
include/codec,include/codec/SkAndroidCodec.h,SkAndroidCodec,class,25,covered,MakeFromData,32,yes,covered,SkAndroidCodec_MakeFromData,"static std::unique_ptr<SkAndroidCodec> MakeFromData(sk_sp<SkData>, SkPngChunkReader* = nullptr);",
include/codec,include/codec/SkAndroidCodec.h,SkAndroidCodec,class,25,covered,~SkAndroidCodec,32,no,covered,SkAndroidCodec_delete,virtual ~SkAndroidCodec();,
include/codec,include/codec/SkAndroidCodec.h,SkAndroidCodec,class,25,covered,getInfo,32,no,covered,SkAndroidCodec_getInfo,const SkImageInfo& getInfo() const { return fInfo; },
include/codec,include/codec/SkAndroidCodec.h,SkAndroidCodec,class,25,covered,getICCProfile,32,no,covered,SkAndroidCodec_getICCProfile,const skcms_ICCProfile* getICCProfile() const { return fCodec->getEncodedInfo().profile(); },
include/codec,include/codec/SkAndroidCodec.h,SkAndroidCodec,class,25,covered,getEncodedFormat,32,no,covered,SkAndroidCodec_getEncodedFormat,SkEncodedImageFormat getEncodedFormat() const { return fCodec->getEncodedFormat(); },
include/codec,include/codec/SkAndroidCodec.h,SkAndroidCodec,class,25,covered,computeOutputColorType,32,no,covered,SkAndroidCodec_computeOutputColorType,SkColorType computeOutputColorType(SkColorType requestedColorType);,
include/codec,include/codec/SkAndroidCodec.h,SkAndroidCodec,class,25,covered,computeOutputAlphaType,32,no,covered,SkAndroidCodec_computeOutputAlphaType,SkAlphaType computeOutputAlphaType(bool requestedUnpremul);,
include/codec,include/codec/SkAndroidCodec.h,SkAndroidCodec,class,25,covered,computeOutputColorSpace,32,no,covered,SkAndroidCodec_computeOutputColorSpace,"sk_sp<SkColorSpace> computeOutputColorSpace(SkColorType outputColorType, sk_sp<SkColorSpace> prefColorSpace = nullptr);",
include/codec,include/codec/SkAndroidCodec.h,SkAndroidCodec,class,25,covered,computeSampleSize,32,no,covered,SkAndroidCodec_computeSampleSize,int computeSampleSize(SkISize* size) const;,
include/codec,include/codec/SkAndroidCodec.h,SkAndroidCodec,class,25,covered,getSampledDimensions,32,no,covered,SkAndroidCodec_getSampledDimensions,SkISize getSampledDimensions(int sampleSize) const;,
include/codec,include/codec/SkAndroidCodec.h,SkAndroidCodec,class,25,covered,getSupportedSubset,32,no,covered,SkAndroidCodec_getSupportedSubset,bool getSupportedSubset(SkIRect* desiredSubset) const;,
include/codec,include/codec/SkAndroidCodec.h,SkAndroidCodec,class,25,covered,getSampledSubsetDimensions,32,no,covered,SkAndroidCodec_getSampledSubsetDimensions,"SkISize getSampledSubsetDimensions(int sampleSize, const SkIRect& subset) const;",
include/codec,include/codec/SkAndroidCodec.h,SkAndroidCodec,class,25,covered,getAndroidPixels,94,no,covered,SkAndroidCodec_getAndroidPixels,"SkCodec::Result getAndroidPixels(const SkImageInfo& info, void* pixels, size_t rowBytes, const AndroidOptions* options);",
include/codec,include/codec/SkAndroidCodec.h,SkAndroidCodec,class,25,covered,getAndroidPixels,94,no,covered,SkAndroidCodec_getAndroidPixels,"SkCodec::Result getAndroidPixels(const SkImageInfo& info, void* pixels, size_t rowBytes);",
include/codec,include/codec/SkAndroidCodec.h,SkAndroidCodec,class,25,covered,getPixels,94,no,covered,SkAndroidCodec_getPixels,"SkCodec::Result getPixels(const SkImageInfo& info, void* pixels, size_t rowBytes) { return this->getAndroidPixels(info, pixels, rowBytes); }",
include/codec,include/codec/SkAndroidCodec.h,SkAndroidCodec,class,25,covered,codec,94,no,covered,SkAndroidCodec_codec,SkCodec* codec() const { return fCodec.get(); },
include/codec,include/codec/SkAndroidCodec.h,SkAndroidCodec,class,25,covered,getGainmapAndroidCodec,94,no,covered,SkAndroidCodec_getGainmapAndroidCodec,"bool getGainmapAndroidCodec(SkGainmapInfo* outInfo, std::unique_ptr<SkAndroidCodec>* outCodec);",
include/codec,include/codec/SkAndroidCodec.h,SkAndroidCodec,class,25,covered,getAndroidGainmap,94,no,covered,SkAndroidCodec_getAndroidGainmap,"bool getAndroidGainmap(SkGainmapInfo* outInfo, std::unique_ptr<SkStream>* outGainmapImageStream);",
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,MinBufferedBytesNeeded,48,yes,covered,SkCodec_MinBufferedBytesNeeded,static constexpr size_t MinBufferedBytesNeeded() { return 32; },
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,ResultToString,75,yes,covered,SkCodec_ResultToString,static const char* ResultToString(Result);,
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,MakeFromStream,86,yes,covered,SkCodec_MakeFromStream,"static std::unique_ptr<SkCodec> MakeFromStream( std::unique_ptr<SkStream>, SkSpan<const SkCodecs::Decoder> decoders, Result* = nullptr, SkPngChunkReader* = nullptr, SelectionPolicy selectionPolicy = SelectionPolicy::kPreferStillImage);",
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,MakeFromStream,86,yes,covered,SkCodec_MakeFromStream,"static std::unique_ptr<SkCodec> MakeFromStream( std::unique_ptr<SkStream>, Result* = nullptr, SkPngChunkReader* = nullptr, SelectionPolicy selectionPolicy = SelectionPolicy::kPreferStillImage);",
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,MakeFromData,86,yes,covered,SkCodec_MakeFromData,"static std::unique_ptr<SkCodec> MakeFromData(sk_sp<SkData>, SkSpan<const SkCodecs::Decoder> decoders, SkPngChunkReader* = nullptr);",
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,MakeFromData,86,yes,covered,SkCodec_MakeFromData,"static std::unique_ptr<SkCodec> MakeFromData(sk_sp<SkData>, SkPngChunkReader* = nullptr);",
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,~SkCodec,86,no,covered,SkCodec_delete,virtual ~SkCodec();,
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,getInfo,86,no,covered,SkCodec_getInfo,SkImageInfo getInfo() const { return fEncodedInfo.makeImageInfo(); },
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,dimensions,86,no,covered,SkCodec_dimensions,"SkISize dimensions() const { return {fEncodedInfo.width(), fEncodedInfo.height()}; }",
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,bounds,86,no,covered,SkCodec_bounds,"SkIRect bounds() const { return SkIRect::MakeWH(fEncodedInfo.width(), fEncodedInfo.height()); }",
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,getICCProfile,86,no,covered,SkCodec_getICCProfile,const skcms_ICCProfile* getICCProfile() const { return this->getEncodedInfo().profile(); },
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,hasHighBitDepthEncodedData,86,no,covered,SkCodec_hasHighBitDepthEncodedData,bool hasHighBitDepthEncodedData() const { return this->getEncodedInfo().bitsPerComponent() >= 16; },
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,getOrigin,86,no,covered,SkCodec_getOrigin,SkEncodedOrigin getOrigin() const { return fOrigin; },
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,getScaledDimensions,86,no,covered,SkCodec_getScaledDimensions,"SkISize getScaledDimensions(float desiredScale) const { SkASSERT(desiredScale > 0.0f); if (desiredScale <= 0.0f) { return SkISize::Make(0, 0); } if (desiredScale >= 1.0f) { return this->dimensions(); } return this->onGetScaledDimensions(des",
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,getValidSubset,86,no,covered,SkCodec_getValidSubset,bool getValidSubset(SkIRect* desiredSubset) const { return this->onGetValidSubset(desiredSubset); },
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,getEncodedFormat,86,no,covered,SkCodec_getEncodedFormat,SkEncodedImageFormat getEncodedFormat() const { return this->onGetEncodedFormat(); },
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,getEncodedData,86,no,covered,SkCodec_getEncodedData,virtual std::unique_ptr<SkStream> getEncodedData() const;,
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,getPixels,188,no,covered,SkCodec_getPixels,"Result getPixels(const SkImageInfo& info, void* pixels, size_t rowBytes, const Options*);",
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,getPixels,188,no,covered,SkCodec_getPixels,"Result getPixels(const SkImageInfo& info, void* pixels, size_t rowBytes) { return this->getPixels(info, pixels, rowBytes, nullptr); }",
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,getPixels,188,no,covered,SkCodec_getPixels,"Result getPixels(const SkPixmap& pm, const Options* opts = nullptr) { return this->getPixels(pm.info(), pm.writable_addr(), pm.rowBytes(), opts); }",
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,getImage,188,no,covered,SkCodec_getImage,"std::tuple<sk_sp<SkImage>, SkCodec::Result> getImage(const SkImageInfo& info, const Options* opts = nullptr);",
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,getImage,188,no,covered,SkCodec_getImage,"std::tuple<sk_sp<SkImage>, SkCodec::Result> getImage();",
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,queryYUVAInfo,188,no,covered,SkCodec_queryYUVAInfo,"bool queryYUVAInfo(const SkYUVAPixmapInfo::SupportedDataTypes& supportedDataTypes, SkYUVAPixmapInfo* yuvaPixmapInfo) const;",
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,getYUVAPlanes,188,no,covered,SkCodec_getYUVAPlanes,Result getYUVAPlanes(const SkYUVAPixmaps& yuvaPixmaps);,
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,startIncrementalDecode,188,no,covered,SkCodec_startIncrementalDecode,"Result startIncrementalDecode(const SkImageInfo& dstInfo, void* dst, size_t rowBytes, const Options*);",
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,startIncrementalDecode,188,no,covered,SkCodec_startIncrementalDecode,"Result startIncrementalDecode(const SkImageInfo& dstInfo, void* dst, size_t rowBytes) { return this->startIncrementalDecode(dstInfo, dst, rowBytes, nullptr); }",
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,incrementalDecode,188,no,covered,SkCodec_incrementalDecode,Result incrementalDecode(int* rowsDecoded = nullptr) { if (!fStartedIncrementalDecode) { return kInvalidParameters; } return this->onIncrementalDecode(rowsDecoded); },
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,startScanlineDecode,188,no,covered,SkCodec_startScanlineDecode,"Result startScanlineDecode(const SkImageInfo& dstInfo, const Options* options);",
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,startScanlineDecode,188,no,covered,SkCodec_startScanlineDecode,"Result startScanlineDecode(const SkImageInfo& dstInfo) { return this->startScanlineDecode(dstInfo, nullptr); }",
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,getScanlines,188,no,covered,SkCodec_getScanlines,"int getScanlines(void* dst, int countLines, size_t rowBytes);",
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,skipScanlines,188,no,covered,SkCodec_skipScanlines,bool skipScanlines(int countLines);,
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,getScanlineOrder,253,no,covered,SkCodec_getScanlineOrder,SkScanlineOrder getScanlineOrder() const { return this->onGetScanlineOrder(); },
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,nextScanline,253,no,covered,SkCodec_nextScanline,int nextScanline() const { return this->outputScanline(fCurrScanline); },
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,outputScanline,253,no,covered,SkCodec_outputScanline,int outputScanline(int inputScanline) const;,
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,getFrameCount,253,no,covered,SkCodec_getFrameCount,int getFrameCount() { return this->onGetFrameCount(); },
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,getFrameInfo,301,no,covered,SkCodec_getFrameInfo,"bool getFrameInfo(int index, FrameInfo* info) const { if (index < 0) { return false; } return this->onGetFrameInfo(index, info); }",
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,getFrameInfo,301,no,covered,SkCodec_getFrameInfo,std::vector<FrameInfo> getFrameInfo();,
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,getRepetitionCount,301,no,covered,SkCodec_getRepetitionCount,int getRepetitionCount() { return this->onGetRepetitionCount(); },
include/codec,include/codec/SkCodec.h,SkCodec,class,47,covered,Register,301,yes,covered,SkCodec_Register,"static void Register( bool (*peek)(const void*, size_t), std::unique_ptr<SkCodec> (*make)(std::unique_ptr<SkStream>, SkCodec::Result*));",
include/codec,include/codec/SkCodec.h,Decoder,struct,528,referenced,,,,no_public_methods_found,SkAvifDecoder_Decode|SkAvifDecoder_DecodeFromData|SkAvifDecoder_Decoder|SkAvifDecoder_IsAvif|SkBmpDecoder_Decode|SkBmpDecoder_DecodeFromDataHandle|SkBmpDecoder_Decoder|SkBmpDecoder_IsBmp,,public method extraction found no methods
include/codec,include/codec/SkCodecAnimation.h,DisposalMethod,class,6,missing,,,,no_public_methods_found,,,public method extraction found no methods
include/codec,include/codec/SkCodecAnimation.h,Blend,class,18,referenced,,,,no_public_methods_found,SkBlendMode_SkBlendMode_AsCoeff|SkBlendMode_SkBlendMode_Name|SkBlender_Deserialize|SkBlender_FactoryToName|SkBlender_Mode|SkBlender_NameToFactory|SkBlender_Register|SkBlender_flatten,,public method extraction found no methods
include/codec,include/codec/SkEncodedImageFormat.h,SkEncodedImageFormat,class,6,missing,,,,no_public_methods_found,,,public method extraction found no methods
include/codec,include/codec/SkPngChunkReader.h,SkPngChunkReader,class,7,covered,readChunk,8,no,covered,SkPngChunkReader_readChunk,"virtual bool readChunk(const char tag[], const void* data, size_t length) = 0;",
include/core,include/core/SkArc.h,SkArc,struct,7,covered,SkArc,12,no,covered,SkArc_Make|SkArc_MakeWithType|SkArc_new|SkArc_newCopy,SkArc() = default;,
include/core,include/core/SkArc.h,SkArc,struct,7,covered,SkArc,12,no,covered,SkArc_Make|SkArc_MakeWithType|SkArc_new|SkArc_newCopy,SkArc(const SkArc& arc) = default;,
include/core,include/core/SkArc.h,SkArc,struct,7,covered,oval,12,no,covered,SkArc_oval,const SkRect& oval() const { return fOval; },
include/core,include/core/SkArc.h,SkArc,struct,7,covered,startAngle,12,no,covered,SkArc_startAngle,SkScalar startAngle() const { return fStartAngle; },
include/core,include/core/SkArc.h,SkArc,struct,7,covered,sweepAngle,12,no,covered,SkArc_sweepAngle,SkScalar sweepAngle() const { return fSweepAngle; },
include/core,include/core/SkArc.h,SkArc,struct,7,covered,isWedge,12,no,covered,SkArc_isWedge,bool isWedge() const { return fType == Type::kWedge; },
include/core,include/core/SkArc.h,SkArc,struct,7,covered,Make,12,yes,covered,SkArc_Make,"static SkArc Make(const SkRect& oval, SkScalar startAngleDegrees, SkScalar sweepAngleDegrees, Type type) { return SkArc(oval, startAngleDegrees, sweepAngleDegrees, type); }",
include/core,include/core/SkArc.h,SkArc,struct,7,covered,Make,12,yes,covered,SkArc_Make,"static SkArc Make(const SkRect& oval, SkScalar startAngleDegrees, SkScalar sweepAngleDegrees, bool useCenter) { return SkArc( oval, startAngleDegrees, sweepAngleDegrees, useCenter ? Type::kWedge : Type::kArc); }",
include/core,include/core/SkBBHFactory.h,SkBBoxHierarchy,class,9,covered,insert,14,no,covered,SkBBoxHierarchy_insert,"virtual void insert(const SkRect[], int N) = 0;",
include/core,include/core/SkBBHFactory.h,SkBBoxHierarchy,class,9,covered,insert,14,no,covered,SkBBoxHierarchy_insert,"virtual void insert(const SkRect[], const Metadata[], int N);",
include/core,include/core/SkBBHFactory.h,SkBBoxHierarchy,class,9,covered,search,14,no,covered,SkBBoxHierarchy_search,"virtual void search(const SkRect& query, std::vector<int>* results) const = 0;",
include/core,include/core/SkBBHFactory.h,SkBBoxHierarchy,class,9,covered,bytesUsed,14,no,covered,SkBBoxHierarchy_bytesUsed,virtual size_t bytesUsed() const = 0;,
include/core,include/core/SkBBHFactory.h,SkBBHFactory,class,31,missing,operator(),32,no,na,,virtual sk_sp<SkBBoxHierarchy> operator()() const = 0;,SkBBHFactory is an abstract C++ factory callback surface; concrete behavior is represented by specific factories such as SkRTreeFactory rather than a generic C callback owner.
include/core,include/core/SkBBHFactory.h,SkBBHFactory,class,31,missing,~SkBBHFactory,32,no,false_positive,,virtual ~SkBBHFactory() {},Destructor/lifetime should be represented by concrete wrapper release/delete APIs and is not a direct C ABI method.
include/core,include/core/SkBBHFactory.h,SkRTreeFactory,class,43,covered,operator(),44,no,covered,SkRTreeFactory_call,sk_sp<SkBBoxHierarchy> operator()() const override;,
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,SkBitmap,31,no,covered,SkBitmap_makeShader|SkBitmap_makeShader_withOptionalLocalMatrix|SkBitmap_makeShader_withTileModesLocalMatrix|SkBitmap_makeShader_withTileModesOptionalLocalMatrix|SkBitmap_new|SkBitmap_new_copy,SkBitmap();,
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,SkBitmap,31,no,covered,SkBitmap_makeShader|SkBitmap_makeShader_withOptionalLocalMatrix|SkBitmap_makeShader_withTileModesLocalMatrix|SkBitmap_makeShader_withTileModesOptionalLocalMatrix|SkBitmap_new|SkBitmap_new_copy,SkBitmap(const SkBitmap& src);,
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,SkBitmap,31,no,covered,SkBitmap_makeShader|SkBitmap_makeShader_withOptionalLocalMatrix|SkBitmap_makeShader_withTileModesLocalMatrix|SkBitmap_makeShader_withTileModesOptionalLocalMatrix|SkBitmap_new|SkBitmap_new_copy,SkBitmap(SkBitmap&& src);,
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,~SkBitmap,31,no,covered,SkBitmap_delete,~SkBitmap();,
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,swap,31,no,covered,SkBitmap_swap,void swap(SkBitmap& other);,
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,pixmap,31,no,covered,SkBitmap_pixmap,const SkPixmap& pixmap() const { return fPixmap; },
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,info,31,no,covered,SkBitmap_info,const SkImageInfo& info() const { return fPixmap.info(); },
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,width,31,no,covered,SkBitmap_width,int width() const { return fPixmap.width(); },
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,height,31,no,covered,SkBitmap_height,int height() const { return fPixmap.height(); },
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,colorType,31,no,covered,SkBitmap_colorType,SkColorType colorType() const { return fPixmap.colorType(); },
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,alphaType,31,no,covered,SkBitmap_alphaType,SkAlphaType alphaType() const { return fPixmap.alphaType(); },
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,colorSpace,31,no,covered,SkBitmap_colorSpace,SkColorSpace* colorSpace() const;,
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,refColorSpace,31,no,covered,SkBitmap_refColorSpace,sk_sp<SkColorSpace> refColorSpace() const;,
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,bytesPerPixel,31,no,covered,SkBitmap_bytesPerPixel,int bytesPerPixel() const { return fPixmap.info().bytesPerPixel(); },
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,rowBytesAsPixels,31,no,covered,SkBitmap_rowBytesAsPixels,int rowBytesAsPixels() const { return fPixmap.rowBytesAsPixels(); },
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,shiftPerPixel,31,no,covered,SkBitmap_shiftPerPixel,int shiftPerPixel() const { return fPixmap.shiftPerPixel(); },
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,empty,31,no,covered,SkBitmap_empty,bool empty() const { return fPixmap.info().isEmpty(); },
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,isNull,31,no,covered,SkBitmap_isNull,bool isNull() const { return nullptr == fPixelRef; },
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,drawsNothing,31,no,covered,SkBitmap_drawsNothing,bool drawsNothing() const { return this->empty() || this->isNull(); },
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,rowBytes,31,no,covered,SkBitmap_rowBytes,size_t rowBytes() const { return fPixmap.rowBytes(); },
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,setAlphaType,31,no,covered,SkBitmap_setAlphaType,bool setAlphaType(SkAlphaType alphaType);,
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,setColorSpace,31,no,covered,SkBitmap_setColorSpace,void setColorSpace(sk_sp<SkColorSpace> colorSpace);,
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,getPixels,31,no,covered,SkBitmap_getPixels,void* getPixels() const { return fPixmap.writable_addr(); },
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,computeByteSize,31,no,covered,SkBitmap_computeByteSize,size_t computeByteSize() const { return fPixmap.computeByteSize(); },
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,isImmutable,31,no,covered,SkBitmap_isImmutable,bool isImmutable() const;,
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,setImmutable,31,no,covered,SkBitmap_setImmutable,void setImmutable();,
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,isOpaque,31,no,covered,SkBitmap_isOpaque,bool isOpaque() const { return SkAlphaTypeIsOpaque(this->alphaType()); },
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,reset,31,no,covered,SkBitmap_reset,void reset();,
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,ComputeIsOpaque,31,yes,covered,SkBitmap_ComputeIsOpaque,static bool ComputeIsOpaque(const SkBitmap& bm) { return bm.pixmap().computeIsOpaque(); },
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,getBounds,31,no,covered,SkBitmap_getBounds,void getBounds(SkRect* bounds) const;,
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,getBounds,31,no,covered,SkBitmap_getBounds,void getBounds(SkIRect* bounds) const;,
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,bounds,31,no,covered,SkBitmap_bounds,SkIRect bounds() const { return fPixmap.info().bounds(); },
include/core,include/core/SkBitmap.h,SkBitmap,class,30,covered,dimensions,31,no,covered,SkBitmap_dimensions,SkISize dimensions() const { return fPixmap.info().dimensions(); },
