id,area,api_pattern,files,rule_category,receiver_rule,input_rules,output_or_lifetime_rule,invalid_behavior,implementation_status,header_status,smoke_status,valid_path_status,last_batch,last_checked_at,evidence,notes
canvas_clip_bounds_getters,SkCanvas,"getBaseLayerSize|getDeviceClipBounds|getLocalClipBounds","skia/capi/sk_canvas.cpp;skia/capi/sk_canvas.h",caller-owned-handle-out-param,"canvas required","out bounds pointer required where applicable","returned size handle is caller-owned; bounds out params are caller-owned storage",invalid input returns 0-or-false,verified,documented,covered,covered,HH,2026-05-13,"217-phase-2-batch-hh-canvas-image-next-candidates.md",Completed from batch HG next candidates; valid returned handles are deleted in smoke.
image_dimensions_color_space_getters,SkImage,"width|height|dimensions|bounds|imageInfo|colorSpace","skia/capi/sk_image.cpp;skia/capi/sk_image.h",getter-handle-borrowed-ownership,"image required","none","imageInfo/dimensions/bounds handles are caller-owned; colorSpace pointer is borrowed; refColorSpace handle is caller-owned",NULL image returns 0-or-NULL,verified,documented,covered,covered,HH,2026-05-13,"217-phase-2-batch-hh-canvas-image-next-candidates.md",Completed from batch HG next candidates; valid handle and borrowed colorSpace paths are covered.
canvas_top_layer_pixels,SkCanvas,"accessTopLayerPixels|peekPixels","skia/capi/sk_canvas.cpp;skia/capi/sk_canvas.h",borrowed-storage-optional-out-param,"canvas required","accessTopLayerPixels out params optional; peekPixels pixmap required","returned raw pointer or pixmap storage is borrowed from canvas",invalid input returns false-or-NULL,verified,documented,covered,covered,HH,2026-05-13,"217-phase-2-batch-hh-canvas-image-next-candidates.md",Completed from batch HG next candidates; borrowed storage valid path was already covered and rechecked.
image_raster_texture_factories,SkImage,"makeRasterImage|makeRasterImageWithoutContext|makeNonTextureImage|withDefaultMipmaps","skia/capi/sk_image.cpp;skia/capi/sk_image.h",returned-handle-factory-failure,"image required","context optional where exposed; cachingHint valid for raster factories","successful returned image handle is caller-owned",invalid input or factory failure returns 0,verified,documented,covered,covered,HQ,2026-05-13,"226-phase-2-batch-hq-image-codecs-stroke-trace-cleanup.md",Raster conversion factories validate returned handle dimensions where conversion succeeds; withDefaultMipmaps and nonTexture factory failure remain accepted 0 outcomes.
canvas_image_rect_lattice_nine_draw,SkCanvas,"drawImageRect|drawImageRectHandleWithSrcDst|drawImageRectPtr|drawImageRectPtrWithSrcDst|drawImageLattice|drawImageLatticeWithFilter|drawImageNine","skia/capi/sk_canvas.cpp;skia/capi/sk_canvas.h",draw-image-geometry-enum,"canvas required","image and geometry pointers required; paint optional; sampling required where applicable; enum values valid","draw inputs are borrowed for the call only",invalid input is no-op,verified,documented,covered,covered,HM,2026-05-13,"222-phase-2-batch-hm-representative-coverage-reduction.md",Valid drawImageRect and drawImageLattice and drawImageLatticeWithFilter and drawImageNine paths are smoke-covered.
enum_helper_sentinel_rules,"SkAlphaType|SkBlendMode","SkAlphaTypeIsOpaque|SkBlendMode_AsCoeff|SkBlendMode_Name","skia/capi/sk_alpha_type.cpp;skia/capi/sk_alpha_type.h;skia/capi/sk_blend_mode.cpp;skia/capi/sk_blend_mode.h",enum-helper-sentinel,"none","enum values valid; AsCoeff out params required","Name returns borrowed static string",invalid enum returns false-or-NULL,changed,updated,covered,covered,HI,2026-05-13,"218-phase-2-batch-hi-enum-capabilities-codecs-gradient-graphics.md",SkColorType has no dedicated C API helper file in this batch scope.
capabilities_null_raster_backend,SkCapabilities,"ref|unref|release|skslVersion|unique|RasterBackend","skia/capi/sk_capabilities.cpp;skia/capi/sk_capabilities.h",refcount-null-static-handle,"capabilities optional for refcount no-op only","capabilities required for getters; RasterBackend has no input","RasterBackend returns caller-owned const capabilities handle",NULL refcount no-op; NULL getter returns 0-or-false,changed,updated,covered,covered,HO,2026-05-13,"224-phase-2-batch-ho-image-canvas-capabilities-valid-paths.md",RasterBackend const handle smoke covers borrowed pointer lookup skslVersion unique stability and ref/unref before caller deletes the handle.
codecs_empty_header_decoder_delegation,SkCodecs,"no direct C functions","skia/capi/sk_codecs.cpp;skia/capi/sk_codecs.h",no-direct-c-api,"none","decoder-specific APIs live in sk_*_decoder files","no direct ownership transfer in sk_codecs.h",not applicable,verified,updated,not-needed,omitted-with-reason,HQ,2026-05-13,"226-phase-2-batch-hq-image-codecs-stroke-trace-cleanup.md",Rechecked that sk_codecs.h intentionally has no direct C functions; decoder-specific smoke such as codec and annotation/android codec tests carry the actual coverage.
gradient_shader_factories,SkGradientShader,"MakeLinear|MakeRadial|MakeTwoPointConical|MakeSweep","skia/capi/sk_gradient_shader.cpp;skia/capi/sk_gradient_shader.h",factory-array-enum-handle,"none","geometry/colors/count required; tile mode valid; interpolation required for interpolation overloads; pos/localMatrix optional","successful shader handle is caller-owned",invalid input or factory failure returns 0,changed,updated,covered,covered,HN,2026-05-13,"223-phase-2-batch-hn-async-canvas-gradient-valid-paths.md",Linear radial two-point conical and sweep representative valid paths are smoke-covered; invalid guards cover overload families.
graphics_global_cache_controls,SkGraphics,"Init|font cache getters/setters|resource cache getters/setters|purge|DumpMemoryStatistics","skia/capi/sk_graphics.cpp;skia/capi/sk_graphics.h",process-global-side-effect,"none","DumpMemoryStatistics dump optional no-op; negative font cache count rejected","process-wide global state is not caller-owned",invalid numeric returns current limit; NULL dump no-op,changed,updated,covered,covered,HP,2026-05-13,"225-phase-2-batch-hp-graphics-value-icc-transform-string-valid-paths.md",Smoke covers stable set and restore for font cache limits and resource cache limits plus purge no-op calls.
high_contrast_config_value_object,SkHighContrastConfig,"new|newWithGrayscaleInvertStyleContrast|delete|isValid","skia/capi/sk_high_contrast_config.cpp;skia/capi/sk_high_contrast_config.h",value-object-enum-field,"config required for isValid","invertStyle must be valid; contrast is checked by isValid","returned config pointer is caller-owned",invalid invertStyle returns NULL; NULL isValid returns false,changed,updated,covered,covered,HJ,2026-05-13,"219-phase-2-batch-hj-value-icc-pdf-perlin.md",Default and explicit valid config paths are covered.
value_handle_geometry_helpers,"SkIRect|SkISize|SkSize|SkPoint","selected null helpers and caller-owned handles","skia/capi/sk_i_rect.cpp;skia/capi/sk_i_rect.h;skia/capi/sk_i_size.cpp;skia/capi/sk_i_size.h;skia/capi/sk_size.cpp;skia/capi/sk_size.h;skia/capi/sk_point.cpp;skia/capi/sk_point.h",value-handle-null-sentinel,"receiver required unless documented as handle value","selected pointer params required; count <= 0 no-op for point arrays","Make helpers return caller-owned handles",NULL pointer helpers return 0 false true or no-op by documented rule,changed,updated,covered,covered,HR,2026-05-14,"227-phase-2-batch-hr-mesh-geometry-pixel-text-ledger.md",Broad geometry row was split into dedicated SkIRect SkISize SkSize and SkPoint detail rows with existing smoke evidence.
geometry_irect_helpers,SkIRect,"getters|mutations|makeOffset|contains|Intersects","skia/capi/sk_i_rect.cpp;skia/capi/sk_i_rect.h;skia/test/test_value_icc_high_contrast_invalid_input_smoke.cpp",value-handle-null-sentinel,i_rect required,rect size and point inputs required where applicable,returned handles are caller-owned,invalid input returns sentinel or 0 false true no-op,changed,updated,covered,covered,HR,2026-05-14,"227-phase-2-batch-hr-mesh-geometry-pixel-text-ledger.md",Valid dimensions topLeft size makeOffset contains and Intersects are smoke-covered.
geometry_size_helpers,"SkISize|SkSize","set|setEmpty|getters|area|Make|MakeFromISize|toRound|toCeil|toFloor","skia/capi/sk_i_size.cpp;skia/capi/sk_i_size.h;skia/capi/sk_size.cpp;skia/capi/sk_size.h;skia/test/test_value_icc_high_contrast_invalid_input_smoke.cpp",value-handle-null-sentinel,size receiver required,ISize pointer required for MakeFromISize,returned handles are caller-owned,invalid input returns sentinel or 0 false true no-op,changed,updated,covered,covered,HR,2026-05-14,"227-phase-2-batch-hr-mesh-geometry-pixel-text-ledger.md",Valid mutation conversion and returned size handles are smoke-covered.
geometry_point_helpers,SkPoint,"Make|length|scaleTo|Offset|dot|cross|Distance","skia/capi/sk_point.cpp;skia/capi/sk_point.h;skia/test/test_value_icc_high_contrast_invalid_input_smoke.cpp",value-output-array,point handle required,output point and vector pointers required where applicable,output arrays are caller-owned and not retained,invalid input returns 0 false or no-op,changed,updated,covered,covered,HR,2026-05-14,"227-phase-2-batch-hr-mesh-geometry-pixel-text-ledger.md",Valid point handle scaleTo output and Offset array paths are smoke-covered.
mesh_specification_factory_guards,"SkMesh|SkMeshes|SkMeshSpecification","Mesh getters|Make|MakeIndexed|MakeVertexBuffer|MakeIndexBuffer|Specification factories","skia/capi/sk_mesh.cpp;skia/capi/sk_mesh.h;skia/capi/sk_meshes.cpp;skia/capi/sk_meshes.h;skia/capi/sk_mesh_specification.cpp;skia/capi/sk_mesh_specification.h;skia/test/test_mesh_invalid_input_smoke.cpp;skia/test/test_mesh_specification_invalid_input_smoke.cpp",mesh-result-handle,"mesh/spec receiver required","bounds and spans and shader strings required for factories","buffer handles are caller-owned; spec spans are borrowed from spec",invalid input returns 0 NULL false or no-op,changed,updated,covered,representative-valid-path,HR,2026-05-14,"227-phase-2-batch-hr-mesh-geometry-pixel-text-ledger.md",Null guards and valid vertex/index buffer factories are smoke-covered; successful mesh/spec result unwrapping remains unavailable in C API.
pixel_storage_mask_pixmap_helpers,"SkPixelRef|SkPixmap|SkMask|SkMaskBuilder","pixel storage getters|rowBytes|addr helpers|mask addr helpers|pixmap read erase","skia/capi/sk_pixel_ref.cpp;skia/capi/sk_pixel_ref.h;skia/capi/sk_pixmap.cpp;skia/capi/sk_pixmap.h;skia/capi/sk_mask.cpp;skia/capi/sk_mask.h;skia/test/test_pixel_ref_invalid_input_smoke.cpp;skia/test/test_pixmap_invalid_input_smoke.cpp;skia/test/test_mask_invalid_input_smoke.cpp",pixel-storage-rowbytes,receiver required,info bounds pixels and rowBytes required where applicable,storage pointers are borrowed and not retained,invalid input returns 0 NULL false or no-op,changed,updated,covered,covered,HR,2026-05-14,"227-phase-2-batch-hr-mesh-geometry-pixel-text-ledger.md",PixelRef Pixmap Mask and MaskBuilder storage rowBytes and addr valid paths are smoke-covered.
text_blob_vertices_buffer_helpers,"SkTextBlob|SkTextBlobBuilder|SkTextBlobRunHandler|SkVertices","text blob factories|builder runs|run handler|vertices factories","skia/capi/sk_text_blob.cpp;skia/capi/sk_text_blob.h;skia/capi/sk_text_blob_builder.cpp;skia/capi/sk_text_blob_builder.h;skia/capi/sk_text_blob_builder_run_handler.cpp;skia/capi/sk_text_blob_builder_run_handler.h;skia/capi/sk_vertices.cpp;skia/capi/sk_vertices.h;skia/test/test_text_blob_invalid_input_smoke.cpp;skia/test/test_text_blob_run_handler_invalid_input_smoke.cpp;skia/test/test_vertices_invalid_input_smoke.cpp",buffer-count-handle,font and blob receiver required,count arrays required when count positive,returned blob vertices and data handles are caller-owned,invalid input returns 0 NULL false or no-op,changed,updated,covered,covered,HR,2026-05-14,"227-phase-2-batch-hr-mesh-geometry-pixel-text-ledger.md",TextBlob and Vertices smoke pass in prebuilt tests; RunHandler smoke is RESKIA_ENABLE_SKPARAGRAPH gated and remains registered as gated evidence.
read_write_buffer_serialization,"SkReadBuffer|SkWriteBuffer","read/write primitives|string|flattenable|data","skia/capi/sk_read_buffer.cpp;skia/capi/sk_read_buffer.h;skia/capi/sk_write_buffer.cpp;skia/capi/sk_write_buffer.h;skia/test/test_read_write_buffer_invalid_input_smoke.cpp",serialization-buffer-bounds,buffer receiver required,source memory and destination storage required where applicable,owned buffers are caller-owned; returned spans or bytes are borrowed for call only,invalid input returns 0 NULL false or no-op,changed,updated,covered,covered,HS,2026-05-14,"228-phase-2-batch-hs-buffer-path-recording-font-runtime-ledger.md",Read and write buffer invalid paths plus representative valid serialization operations are smoke-covered.
path_region_builder_geometry,"SkRegion|SkPath|SkPathBuilder","region ops|path ops|path builder ops","skia/capi/sk_region.cpp;skia/capi/sk_region.h;skia/capi/sk_path.cpp;skia/capi/sk_path.h;skia/capi/sk_path_builder.cpp;skia/capi/sk_path_builder.h;skia/test/test_region_invalid_input_smoke.cpp;skia/test/test_path_invalid_input_smoke.cpp;skia/test/test_path_builder_invalid_input_smoke.cpp",path-geometry-mutation,receiver required,geometry pointers and enum values required where applicable,returned path or region handles are caller-owned,invalid input returns 0 NULL false or no-op,changed,updated,covered,covered,HS,2026-05-14,"228-phase-2-batch-hs-buffer-path-recording-font-runtime-ledger.md",Region Path and PathBuilder mutation returned handle and enum guard paths are smoke-covered.
picture_drawable_recording_helpers,"SkPictureRecorder|SkDrawable|SkOverdrawCanvas","beginRecording|finishRecording|draw|bounds|factory","skia/capi/sk_picture_recorder.cpp;skia/capi/sk_picture_recorder.h;skia/capi/sk_drawable.cpp;skia/capi/sk_drawable.h;skia/capi/sk_overdraw_canvas.cpp;skia/capi/sk_overdraw_canvas.h;skia/test/test_picture_recorder_invalid_input_smoke.cpp;skia/test/test_drawable_flattenable_invalid_input_smoke.cpp;skia/test/test_overdraw_canvas_invalid_input_smoke.cpp",recording-borrowed-canvas,receiver required,bounds and canvas inputs required where applicable,recording canvas is borrowed until finish; returned picture and drawable handles are caller-owned,invalid input returns 0 NULL false or no-op,changed,updated,covered,covered,HS,2026-05-14,"228-phase-2-batch-hs-buffer-path-recording-font-runtime-ledger.md",PictureRecorder Drawable Flattenable and OverdrawCanvas representative recording paths are smoke-covered.
font_typeface_mgr_helpers,"SkFont|SkTypeface|SkFontMgr|SkFontStyleSet","font metrics|typeface factories|font mgr matching|font args","skia/capi/sk_font.cpp;skia/capi/sk_font.h;skia/capi/sk_typeface.cpp;skia/capi/sk_typeface.h;skia/capi/sk_font_mgr.cpp;skia/capi/sk_font_mgr.h;skia/capi/sk_font_style_set.cpp;skia/capi/sk_font_style_set.h;skia/capi/sk_font_arguments.cpp;skia/capi/sk_font_arguments.h;skia/test/test_font_invalid_input_smoke.cpp;skia/test/test_typeface_invalid_input_smoke.cpp;skia/test/test_font_mgr_invalid_input_smoke.cpp;skia/test/test_font_style_set_invalid_input_smoke.cpp;skia/test/test_font_arguments_metrics_invalid_input_smoke.cpp",font-object-ownership,receiver required,text glyph font style and family inputs required where applicable,returned typeface font mgr style set and data handles are caller-owned,invalid input returns 0 NULL false or no-op,changed,updated,covered,covered,HS,2026-05-14,"228-phase-2-batch-hs-buffer-path-recording-font-runtime-ledger.md",Font Typeface FontMgr FontStyleSet and FontArguments smoke cover null guards returned handles and platform-gated Mac typeface remains separate.
runtime_effect_builder_helpers,SkRuntimeEffect,"MakeForShader|MakeForColorFilter|MakeForBlender|makeShader|builder children|builder uniforms","skia/capi/sk_runtime_effect.cpp;skia/capi/sk_runtime_effect.h;skia/capi/sk_runtime_effect_builder.cpp;skia/capi/sk_runtime_effect_builder.h;skia/test/test_runtime_effect_invalid_input_smoke.cpp",runtime-effect-data-child,effect receiver required,source string required; data handle 0 allowed as empty data; child arrays required when count positive,result handles are caller-owned; child and uniform spans are borrowed,invalid input returns 0 NULL false or no-op,changed,updated,covered,covered,HS,2026-05-14,"228-phase-2-batch-hs-buffer-path-recording-font-runtime-ledger.md",Runtime effect shader color filter blender and shader builder paths cover data handle 0 child arrays and returned handles.
color_space_filter_value_helpers,"SkColorInfo|SkColorSpace|SkColor4f|SkColorMatrix|SkColorMatrixFilter|SkColor","color info getters|color space factories|color value helpers|matrix filter","skia/capi/sk_color_info.cpp;skia/capi/sk_color_info.h;skia/capi/sk_color_space.cpp;skia/capi/sk_color_space.h;skia/capi/sk_color_4f.cpp;skia/capi/sk_color_4f.h;skia/capi/sk_color_matrix.cpp;skia/capi/sk_color_matrix.h;skia/capi/sk_color_matrix_filter.cpp;skia/capi/sk_color_matrix_filter.h;skia/capi/sk_color.cpp;skia/capi/sk_color.h;skia/test/test_color_info_space_invalid_input_smoke.cpp;skia/test/test_color_values_invalid_input_smoke.cpp;skia/test/test_color_matrix_filter_invalid_input_smoke.cpp;skia/test/test_color_core_invalid_input_smoke.cpp",color-borrowed-retained-handle,receiver required,profile transfer matrix hsv and output buffers required where applicable,borrowed color space pointers are not released; retained color space color value matrix and filter handles are caller-owned,invalid input returns 0 NULL false or no-op,changed,updated,covered,covered,HT,2026-05-14,"229-phase-2-batch-ht-color-stream-paint-surface-yuva-ledger.md",ColorInfo ColorSpace Color4f ColorMatrix ColorMatrixFilter and color core smoke cover borrowed color space retained handles output buffers and static conversion helpers.
stream_wstream_file_helpers,"SkStream|SkMemoryStream|SkWStream|SkDynamicMemoryWStream|SkFILEStream|SkFILEWStream","read|peek|seek|duplicate|write|detach|file factories","skia/capi/sk_stream.cpp;skia/capi/sk_stream.h;skia/capi/sk_memory_stream.cpp;skia/capi/sk_memory_stream.h;skia/capi/sk_w_stream.cpp;skia/capi/sk_w_stream.h;skia/capi/sk_dynamic_memory_w_stream.cpp;skia/capi/sk_dynamic_memory_w_stream.h;skia/capi/sk_file_stream.cpp;skia/capi/sk_file_stream.h;skia/capi/sk_file_w_stream.cpp;skia/capi/sk_file_w_stream.h;skia/test/test_stream_invalid_input_smoke.cpp;skia/test/test_wstream_invalid_input_smoke.cpp;skia/test/test_file_stream_invalid_input_smoke.cpp;skia/test/test_stream_derived_invalid_input_smoke.cpp",stream-buffer-count,stream receiver required,buffer required when byte count is positive; path or file handle required for file factories,stream handles and detached data or stream handles are caller-owned; memory base is borrowed,invalid input returns 0 NULL false or no-op,changed,updated,covered,covered,HT,2026-05-14,"229-phase-2-batch-ht-color-stream-paint-surface-yuva-ledger.md",Stream WStream dynamic memory stream file stream and derived stream smoke cover null guards zero-count allowances valid memory reads and writes and caller-owned returned handles.
paint_effect_shader_blender_helpers,"SkPaint|SkPathEffect|SkMaskFilter|SkShader|SkColorFilter|SkBlender|SkBlenders","paint setters|getters|effect serialize|shader factories|blender factories","skia/capi/sk_paint.cpp;skia/capi/sk_paint.h;skia/capi/sk_path_effect.cpp;skia/capi/sk_path_effect.h;skia/capi/sk_mask_filter.cpp;skia/capi/sk_mask_filter.h;skia/capi/sk_shader.cpp;skia/capi/sk_shader.h;skia/capi/sk_color_filter.cpp;skia/capi/sk_color_filter.h;skia/capi/sk_blender.cpp;skia/capi/sk_blender.h;skia/capi/sk_blenders.cpp;skia/capi/sk_blenders.h;skia/test/test_paint_invalid_input_smoke.cpp;skia/test/test_path_effect_invalid_input_smoke.cpp;skia/test/test_mask_filter_invalid_input_smoke.cpp;skia/test/test_shader_invalid_input_smoke.cpp;skia/test/test_color_filter_invalid_input_smoke.cpp;skia/test/test_blender_invalid_input_smoke.cpp;skia/test/test_blenders_invalid_input_smoke.cpp",paint-effect-handle-ownership,receiver required,geometry memory and factory inputs required where applicable; nullable effect handles clear paint state where documented,returned shader color filter blender path effect and mask filter handles are caller-owned; borrowed paint accessors are not released,invalid input returns 0 NULL false or no-op,changed,updated,covered,covered,HT,2026-05-14,"229-phase-2-batch-ht-color-stream-paint-surface-yuva-ledger.md",Paint effect shader color filter blender and blenders smoke cover null guards nullable setters serialization factory failure and representative returned handles.
bitmap_imageinfo_surface_helpers,"SkBitmap|SkImageInfo|SkSurfaceProps|SkSurfaces","bitmap storage|getters|image info rowBytes|surface props|surface factories","skia/capi/sk_bitmap.cpp;skia/capi/sk_bitmap.h;skia/capi/sk_image_info.cpp;skia/capi/sk_image_info.h;skia/capi/sk_surface_props.cpp;skia/capi/sk_surface_props.h;skia/capi/sk_surfaces.cpp;skia/capi/sk_surfaces.h;skia/test/test_bitmap_invalid_input_smoke.cpp;skia/test/test_image_info_invalid_input_smoke.cpp;skia/test/test_surface_props_surfaces_invalid_input_smoke.cpp",surface-bitmap-storage-rowbytes,receiver required,image info pixmap pixels and rowBytes required where applicable,surface and image info handles are caller-owned; wrapped pixels are caller-owned storage not retained beyond documented lifetime,invalid input returns 0 NULL false or no-op,changed,updated,covered,representative-valid-path,HT,2026-05-14,"229-phase-2-batch-ht-color-stream-paint-surface-yuva-ledger.md",ImageInfo SurfaceProps and Null surface valid paths are covered; bitmap pixel allocation and WrapPixels valid caller-owned storage remain representative rather than fully covered.
yuva_tiled_image_helpers,"SkYUVAInfo|SkYUVAPixmapInfo|SkYUVAPixmaps|SkTiledImageUtils","YUVA info|pixmap info|pixmaps allocation|tiled image draw helpers","skia/capi/sk_yuva_info.cpp;skia/capi/sk_yuva_info.h;skia/capi/sk_yuva_pixmap_info.cpp;skia/capi/sk_yuva_pixmap_info.h;skia/capi/sk_yuva_pixmaps.cpp;skia/capi/sk_yuva_pixmaps.h;skia/capi/sk_tiled_image_utils.cpp;skia/capi/sk_tiled_image_utils.h;skia/test/test_yuva_info_invalid_input_smoke.cpp;skia/test/test_yuva_pixmaps_invalid_input_smoke.cpp;skia/test/test_tiled_image_utils_invalid_input_smoke.cpp",yuva-plane-storage-factory,receiver required,dimensions config color space plane memory image rect canvas and sampling inputs required where applicable,YUVA pixmap handles are caller-owned; external memory is borrowed and not retained,invalid input returns 0 NULL false or no-op,changed,updated,covered,representative-valid-path,HT,2026-05-14,"229-phase-2-batch-ht-color-stream-paint-surface-yuva-ledger.md",YUVAInfo and YUVAPixmaps valid allocation external memory and plane paths are covered; TiledImageUtils valid image drawing remains representative because current smoke only fixes null and key output behavior.
icc_profile_helpers,SkICC,"SkWriteICCProfile|SkWriteICCProfileFromICCProfile|SkICCFloatXYZD50ToGrid16Lab|SkICCFloatToTable16","skia/capi/sk_icc.cpp;skia/capi/sk_icc.h",data-factory-output-buffer,"none","profile inputs required; description optional; output buffers required","returned data handles are caller-owned",invalid input or factory failure returns 0; invalid buffer input no-op,verified,documented,covered,covered,HP,2026-05-13,"225-phase-2-batch-hp-graphics-value-icc-transform-string-valid-paths.md",Smoke covers valid sRGB ICC profile data creation plus float output buffer helpers.
pdf_document_factories,SkPDF,"SetNodeId|MakeDocument|MakeDocumentWithoutMetadata","skia/capi/sk_pdf.cpp;skia/capi/sk_pdf.h",document-factory-stream-metadata,"canvas required for SetNodeId","stream required; metadata optional","returned document handle is caller-owned",NULL canvas no-op; NULL stream returns 0,verified,documented,covered,covered,HM,2026-05-13,"222-phase-2-batch-hm-representative-coverage-reduction.md",Feature-gated RESKIA_ENABLE_PDF=ON build and c_skia_pdf_smoke cover document factories with and without metadata.
perlin_noise_shader_factories,SkPerlinNoiseShader,"MakeFractalNoise|MakeTurbulence","skia/capi/sk_perlin_noise_shader.cpp;skia/capi/sk_perlin_noise_shader.h",shader-factory-numeric-optional-size,"none","base frequencies and octaves must be positive; tileSize optional","successful shader handle is caller-owned",invalid numeric input or factory failure returns 0,changed,updated,covered,covered,HJ,2026-05-13,"219-phase-2-batch-hj-value-icc-pdf-perlin.md",Valid path uses NULL optional tileSize and deletes returned shader handle.
