file,status,phase,owner,note
skia/handles/static_sk_drawable.cpp,done,phase1,codex,step1+step2+step3: handle_table 適用 + get_entity 分離 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_drawable.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_drawable_gpu_draw_handler-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_drawable_gpu_draw_handler.cpp,done,phase1,codex,step1+step2+step3: handle_table 適用 + get_entity 分離 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_drawable_gpu_draw_handler.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_encoder-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_encoder.cpp,done,phase1,codex,step1+step2+step3: handle_table 適用 + get_entity 分離 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_encoder.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_encoder_frame-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_encoder_frame.cpp,done,phase1,codex,step1+step3: handle_table 適用 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_encoder_frame.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_executor-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_executor.cpp,done,phase1,codex,step1+step2+step3: handle_table 適用 + get_entity 分離 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_executor.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_file_stream-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_file_stream.cpp,done,phase1,codex,step1+step2+step3: handle_table 適用 + get_entity 分離 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_file_stream.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_flattenable-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_flattenable.cpp,done,phase1,codex,step1+step2+step3: handle_table 適用 + get_entity 分離 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_flattenable.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_flattenable_factory-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_flattenable_factory.cpp,done,phase1,codex,step1+step3: handle_table 適用 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_flattenable_factory.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_font-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_font.cpp,done,phase1,codex,step1+step3: handle_table 適用 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_font.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_font_arguments-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_font_arguments.cpp,done,phase1,codex,step1+step3: handle_table 適用 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_font_arguments.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_font_arguments_palette-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_font_arguments_palette.cpp,done,phase1,codex,step1+step3: handle_table 適用 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_font_arguments_palette.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_font_arguments_variation_position-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_font_arguments_variation_position.cpp,done,phase1,codex,step3: set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_font_arguments_variation_position.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_font_mgr-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_font_mgr.cpp,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_font_mgr.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_font_style-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_font_style.cpp,done,phase1,codex,step3: set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_font_style.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_font_style_set-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_font_style_set.cpp,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_font_style_set.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_i_point-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_i_point.cpp,done,phase1,codex,step3: set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_i_point.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_i_rect-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_i_rect.cpp,done,phase1,codex,step3: set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_i_rect.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_i_size-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_i_size.cpp,done,phase1,codex,step3: set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_i_size.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_id_change_listener-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_id_change_listener.cpp,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_id_change_listener.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_image-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_image.cpp,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_image.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_image_filter-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_image_filter.cpp,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_image_filter.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_image_generator-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_image_generator.cpp,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_image_generator.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_image_info-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_image_info.cpp,done,phase1,codex,step3: set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_image_info.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_image_read_pixels_callback-internal.h,na,phase1,codex,実装/API 未定義またはコメントアウトのみのため Phase 1 安全化対象外
skia/handles/static_sk_image_read_pixels_callback.cpp,na,phase1,codex,実装/API未定義（コメントアウトのみ）
skia/handles/static_sk_image_read_pixels_callback.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_image_required_properties-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_image_required_properties.cpp,done,phase1,codex,step3: set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_image_required_properties.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_m_44-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_m_44.cpp,done,phase1,codex,step3: set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_m_44.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_mask-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_mask.cpp,done,phase1,codex,step3: set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_mask.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_mask_builder-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_mask_builder.cpp,done,phase1,codex,step3: set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_mask_builder.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_mask_filter-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_mask_filter.cpp,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_mask_filter.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_matrix-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_matrix.cpp,done,phase1,codex,step3: set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_matrix.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_memory_stream-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_memory_stream.cpp,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_memory_stream.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_mesh_child_ptr-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_mesh_child_ptr.cpp,done,phase1,codex,step3: set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_mesh_child_ptr.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_mesh_index_buffer-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_mesh_index_buffer.cpp,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_mesh_index_buffer.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_mesh_result-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_mesh_result.cpp,done,phase1,codex,step3: set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_mesh_result.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_mesh_specification-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_mesh_specification.cpp,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_mesh_specification.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_mesh_specification_attribute-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_mesh_specification_attribute.cpp,done,phase1,codex,step3: set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_mesh_specification_attribute.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_mesh_specification_result-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_mesh_specification_result.cpp,done,phase1,codex,step3: set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_mesh_specification_result.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_mesh_vertex_buffer-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_mesh_vertex_buffer.cpp,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_mesh_vertex_buffer.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_paint-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_paint.cpp,done,phase1,codex,step3: set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_paint.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_path-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_path.cpp,done,phase1,codex,step3: set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_path.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_path_effect-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_path_effect.cpp,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_path_effect.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_picture-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
