area,header,class,method,method_line,method_static,method_status,matched_capi,triage,priority,next_phase,residual_kind,signature,note
include/core,include/core/SkDrawLooper.h,SkDrawLooper,computeFastBounds,42,no,na,,na,P3,Phase 10,coverage_polish,"void computeFastBounds(const SkPaint& paint, const SkRect& src, SkRect* dst) const;",legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
include/core,include/core/SkDrawLooper.h,SkDrawLooper,asABlurShadow,56,no,na,,na,P3,Phase 10,coverage_polish,virtual bool asABlurShadow(BlurShadowRec*) const;,legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
include/core,include/core/SkDrawLooper.h,SkDrawLooper,GetFlattenableType,56,yes,na,,na,P3,Phase 10,coverage_polish,static SkFlattenable::Type GetFlattenableType() { return kSkDrawLooper_Type; },legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
include/core,include/core/SkDrawLooper.h,SkDrawLooper,getFlattenableType,56,no,na,,na,P3,Phase 10,coverage_polish,SkFlattenable::Type getFlattenableType() const override { return kSkDrawLooper_Type; },legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
include/core,include/core/SkDrawLooper.h,SkDrawLooper,Deserialize,56,yes,na,,na,P3,Phase 10,coverage_polish,"static sk_sp<SkDrawLooper> Deserialize(const void* data, size_t size, const SkDeserialProcs* procs = nullptr) { return sk_sp<SkDrawLooper>(static_cast<SkDrawLooper*>( SkFlattenable::Deserialize( kSkDrawLooper_Type, data, size, procs).releas",legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
include/core,include/core/SkDrawLooper.h,SkDrawLooper,apply,56,no,na,,na,P3,Phase 10,coverage_polish,"void apply(SkCanvas* canvas, const SkPaint& paint, std::function<void(SkCanvas*, const SkPaint&)>);",legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
include/core,include/core/SkFlattenable.h,SkFlattenable,SkFlattenable,26,no,missing,SkFlattenable_Deserialize|SkFlattenable_FactoryToName|SkFlattenable_NameToFactory|SkFlattenable_Register|SkFlattenable_flatten|SkFlattenable_getFactory|SkFlattenable_getFlattenableType|SkFlattenable_getTypeName,na,P3,Phase 9 callback/provider,tracked,SkFlattenable() {},
include/core,include/core/SkFontStyle.h,SkFontStyle,SkFontStyle,40,no,false_positive,SkFontStyle_Bold|SkFontStyle_BoldItalic|SkFontStyle_Italic|SkFontStyle_Normal|SkFontStyle_delete|SkFontStyle_slant|SkFontStyle_weight|SkFontStyle_width,false_positive,P0,Phase 10,coverage_polish,"constexpr SkFontStyle(int weight, int width, Slant slant) : fValue( (SkTPin<int>(weight, kInvisible_Weight, kExtraBlack_Weight)) + (SkTPin<int>(width, kUltraCondensed_Width, kUltraExpanded_Width) << 16) + (SkTPin<int>(slant, kUpright_Slant,",constructor is covered by existing SkFontStyle constructor C API under project naming
include/core,include/core/SkM44.h,SkV4,operator[],90,no,false_positive,SkV4_Dot|SkV4_Normalize|SkV4_add|SkV4_delete|SkV4_dot|SkV4_equals|SkV4_length|SkV4_lengthSquared,false_positive,P0,Phase 10,coverage_polish,float operator[](int i) const { SkASSERT(i >= 0 && i < 4); return this->ptr()[i]; },index operator convenience is covered better by ptr/component accessors; avoid operator-shaped C ABI
include/core,include/core/SkM44.h,SkV4,operator[],90,no,false_positive,SkV4_Dot|SkV4_Normalize|SkV4_add|SkV4_delete|SkV4_dot|SkV4_equals|SkV4_length|SkV4_lengthSquared,false_positive,P0,Phase 10,coverage_polish,float& operator[](int i) { SkASSERT(i >= 0 && i < 4); return this->ptr()[i]; },index operator convenience is covered better by ptr/component accessors; avoid operator-shaped C ABI
include/core,include/core/SkM44.h,SkM44,operator*,158,no,false_positive,SkM44_ColMajor|SkM44_Cols|SkM44_LookAt|SkM44_Perspective|SkM44_RectToRect|SkM44_Rotate|SkM44_RowMajor|SkM44_Rows,false_positive,P0,Phase 10,coverage_polish,"SkV4 operator*(const SkV4& v) const { return this->map(v.x, v.y, v.z, v.w); }",operator* vector mapping is covered by SkM44_map/asM33 style named APIs
include/core,include/core/SkM44.h,SkM44,operator*,158,no,false_positive,SkM44_ColMajor|SkM44_Cols|SkM44_LookAt|SkM44_Perspective|SkM44_RectToRect|SkM44_Rotate|SkM44_RowMajor|SkM44_Rows,false_positive,P0,Phase 10,coverage_polish,"SkV3 operator*(SkV3 v) const { auto v4 = this->map(v.x, v.y, v.z, 0); return {v4.x, v4.y, v4.z}; }",operator* vector mapping is covered by SkM44_map/asM33 style named APIs
include/core,include/core/SkMatrix.h,SkMatrix,operator[],100,no,false_positive,SkMatrix_Concat|SkMatrix_I|SkMatrix_InvalidMatrix|SkMatrix_MakeAll|SkMatrix_MakeRectToRect|SkMatrix_RectToRect|SkMatrix_RotateDeg|SkMatrix_RotateDegAroundPoint,false_positive,P0,Phase 10,coverage_polish,"SkScalar operator[](int index) const { SkASSERT((unsigned)index < 9); return fMat[index]; } SkScalar get(int index) const { SkASSERT((unsigned)index < 9); return fMat[index]; } SkScalar rc(int r, int c) const { SkASSERT(r >= 0 && r <= 2); S",operator[] is already covered by explicit SkMatrix_get/SkMatrix_set C API
include/core,include/core/SkPicture.h,SkPicture,~SkPicture,23,no,false_positive,SkPicture_MakeFromData|SkPicture_MakeFromMemory|SkPicture_MakeFromStream|SkPicture_MakePlaceholder|SkPicture_approximateBytesUsed|SkPicture_approximateOpCount|SkPicture_cullRect|SkPicture_makeShader,false_positive,P0,Phase 10,coverage_polish,~SkPicture() override;,destructor is already represented by release/delete/unref conventions or is not public construction surface
include/core,include/core/SkPixelRef.h,SkPixelRef,~SkPixelRef,16,no,false_positive,SkPixelRef_addGenIDChangeListener|SkPixelRef_diagnostic_only_getDiscardable|SkPixelRef_dimensions|SkPixelRef_getGenerationID|SkPixelRef_height|SkPixelRef_isImmutable|SkPixelRef_new|SkPixelRef_notifyAddedToCache,false_positive,P0,Phase 10,coverage_polish,~SkPixelRef() override;,destructor is already represented by release/delete/unref conventions or is not public construction surface
include/core,include/core/SkRefCnt.h,SkRefCntBase,~SkRefCntBase,14,no,false_positive,SkRefCntBase_new|SkRefCntBase_ref|SkRefCntBase_release|SkRefCntBase_unique|SkRefCntBase_unref,false_positive,P0,Phase 10,coverage_polish,"virtual ~SkRefCntBase() { SkASSERTF(this->getRefCnt() == 1, ""fRefCnt was %d"", this->getRefCnt()); fRefCnt.store(0, std::memory_order_relaxed); }",destructor is represented by existing delete/ref/unref/release conventions; not a standalone C ABI target
include/core,include/core/SkRefCnt.h,SkRefCnt,deref,88,no,false_positive,SkRefCnt_ref|SkRefCnt_release|SkRefCnt_unique|SkRefCnt_unref,false_positive,P0,Phase 10,coverage_polish,void deref() const { this->unref(); },refcount internals are already represented through type-specific ref/unref APIs; no standalone binding
include/core,include/core/SkRegion.h,SkRegion,toString,138,no,na,SkRegion_computeRegionComplexity|SkRegion_contains|SkRegion_containsIRect|SkRegion_containsRegion|SkRegion_delete|SkRegion_equals|SkRegion_getBoundaryPath|SkRegion_getBounds,na,P3,Phase 10,coverage_polish,char* toString();,Phase C 2026-05-06 rechecked upstream header; API is guarded by SK_BUILD_FOR_ANDROID_FRAMEWORK and is not available in current default Reskia build
include/core,include/core/SkString.h,SkString,operator[],77,no,false_positive,SkString_append|SkString_appendHex|SkString_appendS32|SkString_appendS64|SkString_appendScalar|SkString_appendString|SkString_appendStringView|SkString_appendTextWithLength,false_positive,P0,Phase 10,coverage_polish,char operator[](size_t n) const { return this->c_str()[n]; },operator convenience is covered by set/append/dataMutable style C APIs or should not be exposed as operator syntax
include/core,include/core/SkString.h,SkString,operator[],77,no,false_positive,SkString_append|SkString_appendHex|SkString_appendS32|SkString_appendS64|SkString_appendScalar|SkString_appendString|SkString_appendStringView|SkString_appendTextWithLength,false_positive,P0,Phase 10,coverage_polish,char& operator[](size_t n) { return this->data()[n]; },operator convenience is covered by set/append/dataMutable style C APIs or should not be exposed as operator syntax
include/core,include/core/SkString.h,SkString,operator+=,77,no,false_positive,SkString_append|SkString_appendHex|SkString_appendS32|SkString_appendS64|SkString_appendScalar|SkString_appendString|SkString_appendStringView|SkString_appendTextWithLength,false_positive,P0,Phase 10,coverage_polish,SkString& operator+=(const SkString& s) { this->append(s); return *this; },operator convenience is covered by set/append/dataMutable style C APIs or should not be exposed as operator syntax
include/core,include/core/SkString.h,SkString,operator+=,77,no,false_positive,SkString_append|SkString_appendHex|SkString_appendS32|SkString_appendS64|SkString_appendScalar|SkString_appendString|SkString_appendStringView|SkString_appendTextWithLength,false_positive,P0,Phase 10,coverage_polish,SkString& operator+=(const char text[]) { this->append(text); return *this; },operator convenience is covered by set/append/dataMutable style C APIs or should not be exposed as operator syntax
include/core,include/core/SkString.h,SkString,operator+=,77,no,false_positive,SkString_append|SkString_appendHex|SkString_appendS32|SkString_appendS64|SkString_appendScalar|SkString_appendString|SkString_appendStringView|SkString_appendTextWithLength,false_positive,P0,Phase 10,coverage_polish,"SkString& operator+=(const char c) { this->append(&c, 1); return *this; }",operator convenience is covered by set/append/dataMutable style C APIs or should not be exposed as operator syntax
include/core,include/core/SkStrokeRec.h,SkStrokeRec,SkStrokeRec,15,no,false_positive,SkStrokeRec_GetInflationRadius|SkStrokeRec_GetInflationRadiusWithJoinMiterCapAndStrokeWidth|SkStrokeRec_applyToPaint|SkStrokeRec_applyToPath|SkStrokeRec_delete|SkStrokeRec_getCap|SkStrokeRec_getInflationRadius|SkStrokeRec_getJoin,false_positive,P0,Phase 10,coverage_polish,SkStrokeRec(InitStyle style);,constructors are covered by SkStrokeRec_static* factory-style C APIs
include/core,include/core/SkStrokeRec.h,SkStrokeRec,SkStrokeRec,15,no,false_positive,SkStrokeRec_GetInflationRadius|SkStrokeRec_GetInflationRadiusWithJoinMiterCapAndStrokeWidth|SkStrokeRec_applyToPaint|SkStrokeRec_applyToPath|SkStrokeRec_delete|SkStrokeRec_getCap|SkStrokeRec_getInflationRadius|SkStrokeRec_getJoin,false_positive,P0,Phase 10,coverage_polish,"SkStrokeRec(const SkPaint&, SkPaint::Style, SkScalar resScale = 1);",constructors are covered by SkStrokeRec_static* factory-style C APIs
include/core,include/core/SkStrokeRec.h,SkStrokeRec,SkStrokeRec,15,no,false_positive,SkStrokeRec_GetInflationRadius|SkStrokeRec_GetInflationRadiusWithJoinMiterCapAndStrokeWidth|SkStrokeRec_applyToPaint|SkStrokeRec_applyToPath|SkStrokeRec_delete|SkStrokeRec_getCap|SkStrokeRec_getInflationRadius|SkStrokeRec_getJoin,false_positive,P0,Phase 10,coverage_polish,"explicit SkStrokeRec(const SkPaint&, SkScalar resScale = 1);",constructors are covered by SkStrokeRec_static* factory-style C APIs
include/core,include/core/SkTypeface.h,SkTypeface,createScalerContext,156,no,missing,SkTypeface_Equal|SkTypeface_MakeDefault|SkTypeface_MakeDeserialize|SkTypeface_MakeDeserializeWithoutFontMgr|SkTypeface_MakeEmpty|SkTypeface_MakeFromData|SkTypeface_MakeFromFile|SkTypeface_MakeFromName,na,P3,Phase 9 callback/provider,tracked,"std::unique_ptr<SkScalerContext> createScalerContext(const SkScalerContextEffects&, const SkDescriptor*) const;",
include/core,include/core/SkTypeface.h,SkTypeface,Register,156,yes,missing,SkTypeface_Equal|SkTypeface_MakeDefault|SkTypeface_MakeDeserialize|SkTypeface_MakeDeserializeWithoutFontMgr|SkTypeface_MakeEmpty|SkTypeface_MakeFromData|SkTypeface_MakeFromFile|SkTypeface_MakeFromName,real_gap,P3,Phase 9 callback/provider,tracked,"static void Register( FactoryId id, sk_sp<SkTypeface> (*make)(std::unique_ptr<SkStreamAsset>, const SkFontArguments&));",
include/effects,include/effects/SkBlurMaskFilter.h,SkBlurMaskFilter,MakeEmboss,11,yes,na,,na,P3,Phase 10,coverage_polish,"static sk_sp<SkMaskFilter> MakeEmboss(SkScalar blurSigma, const SkScalar direction[3], SkScalar ambient, SkScalar specular);",legacy factory guarded by SK_SUPPORT_LEGACY_EMBOSSMASKFILTER; not available in the current default build unless that macro is enabled
include/effects,include/effects/SkLayerDrawLooper.h,SkLayerDrawLooper,~SkLayerDrawLooper,13,no,false_positive,,false_positive,P0,Phase 10,coverage_polish,~SkLayerDrawLooper() override;,destructor is already represented by release/delete/unref conventions or is not public construction surface
include/effects,include/effects/SkRuntimeEffect.h,SkRuntimeEffect,~SkRuntimeEffect,217,no,false_positive,SkRuntimeEffect_MakeForBlender|SkRuntimeEffect_MakeForBlenderDefault|SkRuntimeEffect_MakeForColorFilter|SkRuntimeEffect_MakeForColorFilterDefault|SkRuntimeEffect_MakeForShader|SkRuntimeEffect_MakeForShaderDefault|SkRuntimeEffect_MakeTraced|SkRuntimeEffect_RegisterFlattenables,false_positive,P0,Phase 10,coverage_polish,~SkRuntimeEffect() override;,destructor is already represented by release/delete/unref conventions or is not public construction surface
include/gpu,include/gpu/GrBackendDrawableInfo.h,GrBackendDrawableInfo,GrBackendDrawableInfo,7,no,missing,,real_gap,P2,Phase 9 GPU,tracked,GrBackendDrawableInfo() : fIsValid(false) {},
include/gpu,include/gpu/GrBackendDrawableInfo.h,GrBackendDrawableInfo,GrBackendDrawableInfo,7,no,missing,,real_gap,P2,Phase 9 GPU,tracked,"GrBackendDrawableInfo(const GrVkDrawableInfo& info) : fIsValid(true) , fBackend(GrBackendApi::kVulkan) , fVkInfo(info) {}",
include/gpu,include/gpu/GrBackendDrawableInfo.h,GrBackendDrawableInfo,isValid,7,no,missing,,real_gap,P2,Phase 9 GPU,tracked,bool isValid() const { return fIsValid; },
include/gpu,include/gpu/GrBackendDrawableInfo.h,GrBackendDrawableInfo,backend,7,no,missing,,real_gap,P2,Phase 9 GPU,tracked,GrBackendApi backend() const { return fBackend; },
include/gpu,include/gpu/GrBackendDrawableInfo.h,GrBackendDrawableInfo,getVkDrawableInfo,7,no,missing,,real_gap,P2,Phase 9 GPU,tracked,bool getVkDrawableInfo(GrVkDrawableInfo* outInfo) const { if (this->isValid() && GrBackendApi::kVulkan == fBackend) { *outInfo = fVkInfo; return true; } return false; },
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,~GrBackendSemaphore,21,no,false_positive,GrBackendSemaphore_delete,false_positive,P0,Phase 10,coverage_polish,~GrBackendSemaphore();,"destructor/lifetime should be represented by wrapper release/delete API, not direct method binding"
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,initDirect3D,21,no,na,GrBackendSemaphore_backend|GrBackendSemaphore_delete|GrBackendSemaphore_initMetal|GrBackendSemaphore_initVulkan|GrBackendSemaphore_isInitialized|GrBackendSemaphore_mtlSemaphore|GrBackendSemaphore_mtlValue|GrBackendSemaphore_new,na,P3,Phase 12 SVG/SkSG cleanup,tracked,void initDirect3D(const GrD3DFenceInfo& info) { fBackend = GrBackendApi::kDirect3D; this->assignD3DFenceInfo(info); fIsInitialized = true; },Direct3D backend is not enabled in the current Reskia build/platform plan; keep out of missing until a D3D target exists
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,getD3DFenceInfo,21,no,na,GrBackendSemaphore_backend|GrBackendSemaphore_delete|GrBackendSemaphore_initMetal|GrBackendSemaphore_initVulkan|GrBackendSemaphore_isInitialized|GrBackendSemaphore_mtlSemaphore|GrBackendSemaphore_mtlValue|GrBackendSemaphore_new,na,P3,Phase 12 SVG/SkSG cleanup,tracked,bool getD3DFenceInfo(GrD3DFenceInfo* outInfo) const;,Direct3D backend is not enabled in the current Reskia build/platform plan; keep out of missing until a D3D target exists
include/gpu,include/gpu/GrBackendSurface.h,GrBackendFormat,MakeDxgi,37,yes,na,GrBackendFormat_MakeMock|GrBackendFormat_MakeMtl|GrBackendFormat_asMockColorType|GrBackendFormat_asMockCompressionType|GrBackendFormat_asMtlFormat|GrBackendFormat_backend|GrBackendFormat_channelMask|GrBackendFormat_delete,na,P3,Phase 12 SVG/SkSG cleanup,tracked,static GrBackendFormat MakeDxgi(DXGI_FORMAT format) { return GrBackendFormat(format); },DXGI/Direct3D format helper is platform-specific and unsupported by current Reskia build targets
include/gpu,include/gpu/GrBackendSurface.h,GrBackendFormat,asDxgiFormat,37,no,na,GrBackendFormat_MakeMock|GrBackendFormat_MakeMtl|GrBackendFormat_asMockColorType|GrBackendFormat_asMockCompressionType|GrBackendFormat_asMtlFormat|GrBackendFormat_backend|GrBackendFormat_channelMask|GrBackendFormat_delete,na,P3,Phase 12 SVG/SkSG cleanup,tracked,bool asDxgiFormat(DXGI_FORMAT*) const;,DXGI/Direct3D format helper is platform-specific and unsupported by current Reskia build targets
include/gpu,include/gpu/GrBackendSurface.h,GrBackendTexture,getD3DTextureResourceInfo,142,no,na,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_dimensions|GrBackendTexture_getBackendFormat|GrBackendTexture_getLabel|GrBackendTexture_getMockTextureInfo|GrBackendTexture_getMtlTextureInfo,na,P3,Phase 12 SVG/SkSG cleanup,tracked,bool getD3DTextureResourceInfo(GrD3DTextureResourceInfo*) const;,Direct3D backend texture state is platform-specific and unsupported by current Reskia build targets
include/gpu,include/gpu/GrBackendSurface.h,GrBackendTexture,setD3DResourceState,142,no,na,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_dimensions|GrBackendTexture_getBackendFormat|GrBackendTexture_getLabel|GrBackendTexture_getMockTextureInfo|GrBackendTexture_getMtlTextureInfo,na,P3,Phase 12 SVG/SkSG cleanup,tracked,void setD3DResourceState(GrD3DResourceStateEnum);,Direct3D backend texture state is platform-specific and unsupported by current Reskia build targets
include/gpu,include/gpu/GrBackendSurface.h,GrBackendTexture,TestingOnly_Equals,142,yes,false_positive,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_dimensions|GrBackendTexture_getBackendFormat|GrBackendTexture_getLabel|GrBackendTexture_getMockTextureInfo|GrBackendTexture_getMtlTextureInfo,false_positive,P0,Phase 12 SVG/SkSG cleanup,coverage_polish,"static bool TestingOnly_Equals(const GrBackendTexture&, const GrBackendTexture&);",GR_TEST_UTILS-only helper should not be part of stable C ABI coverage
include/gpu,include/gpu/GrBackendSurface.h,GrBackendRenderTarget,getD3DTextureResourceInfo,289,no,na,GrBackendRenderTarget_asHandle|GrBackendRenderTarget_backend|GrBackendRenderTarget_delete|GrBackendRenderTarget_dimensions|GrBackendRenderTarget_getBackendFormat|GrBackendRenderTarget_getMockRenderTargetInfo|GrBackendRenderTarget_getMtlTextureInfo|GrBackendRenderTarget_height,na,P3,Phase 12 SVG/SkSG cleanup,tracked,bool getD3DTextureResourceInfo(GrD3DTextureResourceInfo*) const;,Direct3D backend render target state is platform-specific and unsupported by current Reskia build targets
include/gpu,include/gpu/GrBackendSurface.h,GrBackendRenderTarget,setD3DResourceState,289,no,na,GrBackendRenderTarget_asHandle|GrBackendRenderTarget_backend|GrBackendRenderTarget_delete|GrBackendRenderTarget_dimensions|GrBackendRenderTarget_getBackendFormat|GrBackendRenderTarget_getMockRenderTargetInfo|GrBackendRenderTarget_getMtlTextureInfo|GrBackendRenderTarget_height,na,P3,Phase 12 SVG/SkSG cleanup,tracked,void setD3DResourceState(GrD3DResourceStateEnum);,Direct3D backend render target state is platform-specific and unsupported by current Reskia build targets
include/gpu,include/gpu/GrBackendSurface.h,GrBackendRenderTarget,TestingOnly_Equals,289,yes,false_positive,GrBackendRenderTarget_asHandle|GrBackendRenderTarget_backend|GrBackendRenderTarget_delete|GrBackendRenderTarget_dimensions|GrBackendRenderTarget_getBackendFormat|GrBackendRenderTarget_getMockRenderTargetInfo|GrBackendRenderTarget_getMtlTextureInfo|GrBackendRenderTarget_height,false_positive,P0,Phase 12 SVG/SkSG cleanup,coverage_polish,"static bool TestingOnly_Equals(const GrBackendRenderTarget&, const GrBackendRenderTarget&);",GR_TEST_UTILS-only helper should not be part of stable C ABI coverage
include/gpu,include/gpu/GrContextOptions.h,GrContextOptions,GrContextOptions,52,no,missing,,real_gap,P2,Phase 9 GPU,tracked,GrContextOptions() {},
include/gpu,include/gpu/GrContextThreadSafeProxy.h,GrContextThreadSafeProxy,~GrContextThreadSafeProxy,24,no,false_positive,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_createCharacterization|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release,false_positive,P0,Phase 10,coverage_polish,~GrContextThreadSafeProxy();,"destructor/lifetime should be represented by wrapper release/delete API, not direct method binding"
include/gpu,include/gpu/GrContextThreadSafeProxy.h,GrContextThreadSafeProxy,priv,24,no,na,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_createCharacterization|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release,na,P3,Phase 12 SVG/SkSG cleanup,tracked,GrContextThreadSafeProxyPriv priv();,priv() exposes internal Ganesh control surfaces; keep out of stable C ABI coverage
include/gpu,include/gpu/GrContextThreadSafeProxy.h,GrContextThreadSafeProxy,priv,24,no,na,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_createCharacterization|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release,na,P3,Phase 12 SVG/SkSG cleanup,tracked,const GrContextThreadSafeProxyPriv priv() const;,priv() exposes internal Ganesh control surfaces; keep out of stable C ABI coverage
include/gpu,include/gpu/GrDirectContext.h,GrDirectContext,MakeDirect3D,54,yes,na,GrDirectContext_MakeMetal|GrDirectContext_MakeMock|GrDirectContext_MakeVulkan|GrDirectContext_abandonContext|GrDirectContext_abandoned|GrDirectContext_checkAsyncWorkCompletion|GrDirectContext_createBackendTexture|GrDirectContext_createBackendTextureFromPixmap,na,P3,Phase 12 SVG/SkSG cleanup,tracked,"static sk_sp<GrDirectContext> MakeDirect3D(const GrD3DBackendContext&, const GrContextOptions&);",Direct3D context factory is unsupported by current Reskia build targets
include/gpu,include/gpu/GrDirectContext.h,GrDirectContext,MakeDirect3D,54,yes,na,GrDirectContext_MakeMetal|GrDirectContext_MakeMock|GrDirectContext_MakeVulkan|GrDirectContext_abandonContext|GrDirectContext_abandoned|GrDirectContext_checkAsyncWorkCompletion|GrDirectContext_createBackendTexture|GrDirectContext_createBackendTextureFromPixmap,na,P3,Phase 12 SVG/SkSG cleanup,tracked,static sk_sp<GrDirectContext> MakeDirect3D(const GrD3DBackendContext&);,Direct3D context factory is unsupported by current Reskia build targets
include/gpu,include/gpu/GrDirectContext.h,GrDirectContext,priv,450,no,na,GrDirectContext_MakeMetal|GrDirectContext_MakeMock|GrDirectContext_MakeVulkan|GrDirectContext_abandonContext|GrDirectContext_abandoned|GrDirectContext_checkAsyncWorkCompletion|GrDirectContext_createBackendTexture|GrDirectContext_createBackendTextureFromPixmap,na,P3,Phase 12 SVG/SkSG cleanup,tracked,GrDirectContextPriv priv();,priv() exposes GrDirectContextPriv internal control surface; keep out of stable C ABI coverage
include/gpu,include/gpu/GrDirectContext.h,GrDirectContext,priv,450,no,na,GrDirectContext_MakeMetal|GrDirectContext_MakeMock|GrDirectContext_MakeVulkan|GrDirectContext_abandonContext|GrDirectContext_abandoned|GrDirectContext_checkAsyncWorkCompletion|GrDirectContext_createBackendTexture|GrDirectContext_createBackendTextureFromPixmap,na,P3,Phase 12 SVG/SkSG cleanup,tracked,const GrDirectContextPriv priv() const;,priv() exposes GrDirectContextPriv internal control surface; keep out of stable C ABI coverage
include/gpu,include/gpu/GrDriverBugWorkarounds.h,GrDriverBugWorkarounds,GrDriverBugWorkarounds,20,no,missing,,real_gap,P2,Phase 9 GPU,tracked,GrDriverBugWorkarounds();,
